[00:00] 大家都知道2024到2043這20年是很具有潛力的
[00:04] 已經過兩年了 有沒有
[00:06] 那你們的整體收入還有
[00:11] 還有你們支持到的人有沒有因此而增加
[00:15] 這是我們要來了解的
[00:17] 好 那升星工作者渴望這幾件事情我們都說過了對不對
[00:22] 好的
[00:23] 然後這幾年就是我們的黃金時代
[00:26] 但是我們現在有什麼狀況呢收入不穩定
[00:29] 自媒體經營無力
[00:30] 今天要講的是那單次收入不穩定的話那怎麼辦
[00:35] 那我們有哪些誤區呢就是這些誤區大家知道了OK我們現在要開始企業
[00:41] 接下來這90分鐘就是要分享給你年收百萬的秘訣
[00:46] 然後
[00:47] 在
[00:48] 講到年收百萬我想要跟大家分享一件事情
[00:52] 就是我才剛剛看了一個我剛剛吃飯吃了一個句
[00:56] 我看了一個
[00:57] 看了一個小小的句
[00:59] 然後那個句裡面有一段非常觸動我跟大家分享一下就是他說啊
[01:05] 就是
[01:05] 在有一個最現實的狀況就是
[01:09] 如果魚孚他們要去捕魚
[01:12] 然後捕魚
[01:13] 他們如果要捕鯨魚的話他們第一個怎麼捕呢
[01:17] 他們會先去捕鯨魚寶寶
[01:19] 然後金魚寶寶因為他們最他們那個就是你知道他們會射那個射東西去
[01:25] 捕鯨魚寶寶
[01:26] 那金魚寶寶一旦被射中了被那個就是那種
[01:30] 射中之後那個那個什麼槍魚槍還是什麼的
[01:34] 射中之後呢你們才發生什麼事情
[01:37] 金魚寶寶就死掉嗎不是
[01:39] 是金魚媽媽他就會立刻回去保護他的小孩
[01:44] 他就會陪著他的小孩一直在旁邊
[01:47] 那大家知道嗎金魚很聰明的
[01:50] 他雖然知道自己會因為保護自己的小孩而死掉
[01:54] 但是他還是會繼續保護著他
[01:57] 那這件事情跟我現在要跟你們講的穩定年收百萬有什麼關呢
[02:03] 太大的關係了我要告訴各位
[02:07] 我剛剛看到那一段其實那個是我
[02:10] 第二次看就是重新看那部劇
[02:14] 但是我剛剛看到那段我去哭了眼你知道嗎
[02:17] 因為為什麼我要讓大家年收百萬
[02:20] 或者是我為什麼我自己要年收百萬
[02:23] 因為過去我實在是經歷
[02:26] 就小時候實在是經歷一個很辛苦的狀態
[02:29] 就是我們家裡
[02:31] 真的是因為破產我媽媽帶著我們搬了十幾次的家
[02:36] 所以大家聽一下你們知道那種
[02:39] 當你家庭傷痛尤其是在金錢
[02:42] 那個傷痛很強烈的時候
[02:44] 他會帶給我另外一個反作用力
[02:47] 就是如果我到達如此低的低谷
[02:50] 那我們向上反彈那個力道會很大
[02:54] 對不對
[02:55] 但是向上反彈你也要有
[02:57] 有能量去向上反彈啊
[02:59] 你也要能力去向上反彈啊
[03:01] 你也要有東西讓你向上反彈啊
[03:04] 所以我在這麼多年接觸身心靈領域的過程中
[03:09] 我要跟大家說這個向上反彈他是
[03:13] 我一直不斷不斷準備的
[03:15] 然後上一次跟朋友一起去
[03:19] 內地的時候
[03:20] 然後他們就準備了讓
[03:22] 讓準備了很好的住宿給我
[03:24] 因為他們你知道他們怎麼說
[03:26] 他們說Sally就不接受住那種比較差的地方
[03:29] 那你們知道為什麼嗎
[03:31] 不是我鄙視那些住比較差的
[03:33] 不是不是
[03:34] 是因為小時候受的苦夠多了
[03:38] 我不願意再讓我自己我的家人
[03:41] 再承受類似的苦痛了
[03:43] 那個已經不再是適合現在的我了
