[00:00] 我真的不知道為什麼我在路上遇到綠色和平
[00:06] 大家可能有些人遇過
[00:08] 現在是國際特色組織在做這件事
[00:12] 綠色和平消失了
[00:14] 然後我遇到綠色和平他跟我講
[00:17] 環境保護
[00:18] 他跟我講
[00:19] 人道救援他跟我講一些就是
[00:22] 動物的一些就是
[00:24] 就是關懷然後我就覺得說好啊
[00:26] 既然這樣說
[00:27] 既然這樣的話我就進一份力好了我那篇子完全在寫我突然發現ok我25年開始捐款
[00:34] 25歲那一年放逐自己到
[00:37] 到國外去越利去游覽然後去增長自己的見聞
[00:42] 然後回到台灣之後很神奇的26歲開始年薪百萬而且我不是在外商的時候各位我是在家很小台灣的
[00:49] 過程公司
[00:50] 但我突然變成top sales
[00:52] 我就突然爆接大單然後就是一直爆接爆接大單然後就在那家公司待了6年
[00:59] 老闆真的是拿我沒批挑
[01:01] 就是
[01:02] 我就做我想做是他有什麼意見我也沒在聽他的但是我業績就是很好然後後來就後繼無力覺得場子幹就行了
[01:10] 然後他就覺得你怎麼可以這樣可是實際上我就是那樣子的過程當中我發現ok是我因為在
[01:16] 某些地方我願意付出了
[01:18] 所以我在這個地方我獲得了
[01:20] 然後我後來就是一路透過這樣的一個新年的運用
[01:24] 我付出能量出去能量回來然後新智新智的新智的運用也很重要就是我開始下意念
[01:32] 宇宙先生應該也很清楚就是下意念你有個意圖
[01:35] 覺得說我想要去
[01:38] 更大的公司或者是江湖裡面走跳一下因為大家知道過程公司其實就是一個外來的和尚
[01:46] 所以我一直以前都覺得只是個外來的和尚好像沒有一個
[01:50] 屬於哪一個就是公司裡面的歸屬感
[01:53] 所以我就開始覺得說那我想要去就是
[01:57] 一些行業跟過程公司很接近的
[02:00] 屬性也接近毛利率很接近薪水也不用就是薪水也可以維持持平
[02:05] 的一個行業然後最後歸納總結出資訊業
[02:09] 這個東西
[02:11] 然後我就想說
[02:12] 資訊業蕃體業
[02:13] 的這個東西
[02:15] 然後我就很簡單排腦袋然後下了一個意圖想說我要去資訊業
[02:19] 可是各位要想我那個時候完全沒有資訊業的背景而且我那時候已經快30歲了
[02:24] 已經不是個社會新鮮人了
[02:26] 好那所以到底怎麼找呢我那時候就在想說OK
[02:30] 那沒關係啊我就給我一個gabriel好了我以前有一點其實我其實也沒有很大經濟壓力
[02:36] 我就那時候就開始一直去就是一直在跟自己講說那個意圖就一直下桌我想去科技我想去科技
[02:42] 但這個過程就是導工作找的也是蠻辛苦的
[02:46] 可是不知道為什麼那個意圖下久了之後
[02:49] 其實宇宙真的會給你腰的
[02:51] 所以我在做能量教練過程當中其實我是蠻大量在有點像是反應tune在竄我自己的
[02:57] 客人或者是我的學生
[02:59] 他們在思考事情的角度以及他們在去看自己的角度的時候
[03:05] 究竟他們要打到的那個最後最後面那個很和內和的那個東西是什麼
[03:12] 對真的是
[03:13] 有些人是先畫吧在射箭啊有些人是直接射出去的在說的啦
[03:17] 但我覺得那個效果不太一樣但都有效果
[03:21] 所以其實我想分享其實就是我的脆很簡單我脆就是我超人心
[03:26] 我今天如果想到一個東西我覺得他有用
[03:29] 他在我身上已經開花結果或者是他正在開花
[03:34] 我就把這些東西寫出來那
[03:36] 有些時候會爆可能就是因為比較快很準他就是很方法論的工具一條一條條列出來
[03:43] 那像我最近比較
[03:46] 反應比較好的是我去畢竟的時候
[03:49] 我在那個排毒因裡面用了那個零極限的方式跟我自己的身體溝通我聽到我自己的身體在跟我溝通
[03:57] 然後在前面是我在吃東西的過程當中那個食物對身體的那個食物能量對身體的
[04:03] 能量的調節他到底是怎麼樣運作的
[04:07] 所以其實我所有的文啊
[04:09] 就真的是比較走地海
[04:11] 對就是都是
[04:13] 我放放出去
[04:15] 是因為他真的對我有用
[04:17] 其實我也沒有什麼什麼特殊的東西我也沒用ai
[04:20] 我最多用ai就是請他幫我畫圖這樣子
[04:23] 對我就是去去聽他說我想畫出什麼樣的圖你幫我畫一下然後這也是
[04:28] 這兩三個月才開始玩的東西但是我今天收穫很多啦
