[00:00] 你就會講我的獨特的優勢是什麼
[00:01] 這個在那個文字檔裡面都有在補上去就好了
[00:04] 嗯
[00:05] 那還有解決什麼樣生性產業的問題
[00:08] 然後適合什麼
[00:09] 我一開場就會講
[00:11] 然後講我是誰
[00:13] 哦
[00:13] 啊
[00:14] 這樣
[00:15] 沒事怎麼了
[00:16] 我是誰
[00:17] 可以可以然後我學過什麼
[00:19] 然後這是我的分類別
[00:21] 我都把它全部做成形制圖的
[00:24] 嗯
[00:24] 就是我覺得生性產業相關
[00:27] 形象相關跟企業相關
[00:29] 那我做過什麼樣的案例
[00:31] 這就是三大三大類別
[00:33] 跟各三個案例這樣子
[00:35] 好這邊我可能思考案例要不要少一點
[00:38] 然後
[00:39] 那今天的內容就我第一天第一堂課內容
[00:42] 我還在想我那麼多可以講我要講哪一個
[00:44] 我應該會只是講網路行銷三要素
[00:48] 三要素就是
[00:50] 那個你平常我最常講的最簡單的版本
[00:53] 就是一般人馬上聽得懂的版本就是這個
[00:56] 那個
[00:58] 三要素
[01:00] 三要素好久啊在這裡
[01:04] 就是產品力流量跟系統
[01:05] 其實整單講就是三個東西
[01:07] 哦用
[01:08] 那
[01:09] 對
[01:09] 然後然後就會提到就是
[01:12] 產品力是什麼
[01:14] 然後就是各
[01:16] 產品力啊
[01:17] 然後是什麼
[01:18] 就是把這三個最基礎的講完
[01:21] 然後嗯
[01:21] 然後我講完之後
[01:22] 都覺得好像有點需要東西的感覺
[01:25] 然後我就用
[01:26] 簡單的這三個基礎要素
[01:29] 去
[01:31] 講
[01:32] 就這邊會講到流量嘛就是
[01:34] 我需要跟你講一遍嗎
[01:36] 你不應該
[01:37] 應該一下講就好
[01:39] 大綱就好產品力跟流量力跟系統力
[01:42] 然後
[01:42] 嗯
[01:42] 然後第一個產品力呢就是
[01:45] 就是
[01:46] 本身的賣點
[01:47] 好然後呢
[01:49] 然後品牌力啊就是
[01:53] 然後呢行銷力啊
[01:55] 那並就是找差異化賣點跟14根
[01:57] 跟認同感
[01:58] 那
[02:00] 這個簡單講就是產品的差異化賣點
[02:04] 然後
[02:06] 好那就是
[02:07] 就是
[02:08] 呃品牌力就是就像新
[02:10] 不居然
[02:11] 蘋果一直出新款嘛人家就很期待
[02:13] 哦那14根
[02:15] 嗯就簡單講這樣就帶過去了然後
[02:18] 然後流量力的就是這個叫流量
[02:21] 那流量呢
[02:22] 只抓一個重點流量就是
[02:25] 先了解動態來源是因為什麼
[02:28] 就是時間進分數高跟連結高
[02:31] 所以呢
[02:32] 所有的重點呢
[02:34] 所有的fb跟
[02:36] 脆的所有的流量都一樣
[02:37] 就是他們都在講的就是互動
[02:40] 關鍵
[02:41] 底層邏輯就是互動啊創造要創造你的互動
[02:44] 所以你要
[02:47] 有這篇文有大量的留言
[02:49] 那你就要創造互動
[02:50] 你就ok了
[02:52] 哦就這麼簡單
[02:53] 好所以呢我就用這個來舉例子說
[02:57] 哎我們過去為什麼可以創造比較多的結果
[03:00] 就是會創造大量的
[03:02] 留言數
[03:04] 那你只要創造大量的留言數你就會有流量
[03:07] 所以你只要
[03:09] 找到你的最基礎的這個三件事情
[03:12] 產品力
[03:13] 你的流量
[03:14] 很簡單啊跟系統
[03:17] 好那我們簡單講就是講這三件事
[03:20] 但是呢
[03:21] 因為
[03:21] 我們講這大方向是三件事
