[00:00] 時間很寶貴
[00:01] 大家很感謝大家今天來上線
[00:04] 我們今天內容非常的
[00:07] 精彩
[00:08] 對但是首先就是請大家說
[00:12] 你可以
[00:15] 等一下可以打開你的鏡頭
[00:17] 對因為這樣子比較知道有誰
[00:19] 我們等一下QA的時候可能要
[00:21] 看到臉比較好認桌
[00:23] 誰的帳號
[00:24] 所以OK的話大家也可以打開鏡頭或等一下我們QA的時候再開
[00:29] 女生還沒化妝的話可以一邊補個妝
[00:32] 對等一下開鏡頭才不會說
[00:34] 太素顏這樣
[00:35] 我是沒在化妝我都直接上
[00:39] 今天就是來跟大家講說要怎麼去
[00:42] 起號
[00:44] 對那這個議題就是
[00:46] 蠻
[00:47] 有趣的就是因為市面上基本上有很多人在講端音你怎麼起號
[00:51] 可是沒有人在講脆怎麼起號
[00:54] 那
[00:54] 為什麼為什麼呢
[00:58] 因為沒有人知道脆要怎麼起號
[01:00] 這個就是他
[01:02] 技術含量蠻高的
[01:04] 但是因為過去這幾個月啊我自己
[01:07] 就是把我自己帳號從零操作到破碗
[01:10] 那也很多
[01:11] 朋友他們來找我代操
[01:14] 或是客戶來找我代操
[01:16] 所以我手上目前也有超過大概五六個帳號
[01:21] 所以我有很多個
[01:23] 產業的面向跟
[01:25] 這個經驗可以去
[01:28] 總結歸納出一個方法
[01:30] 那其實
[01:32] 呃這方法也不是什麼秘密
[01:34] 大部分都是在我政客中
[01:36] 講的方法
[01:37] 對就我們這個
[01:39] 脆脆量面線的政客中講的方法
[01:41] 對那今天就來跟大家
[01:43] 來講說要怎麼做
[01:44] 那首先我想問一下就是說
[01:46] 我政客已經看完的人
[01:49] 就是脆流量的政客看完的人幫我打個音
[01:52] 然後還沒看完的報打個2號
[01:57] 還沒看完打2
[01:59] 看完打1
[02:04] 很多很多壞小孩都
[02:06] 都不看都不上課了是怎樣
[02:10] 我操
[02:12] ok ok
[02:13] 好
[02:15] 好那
[02:17] 有些人沒留言齁所以
[02:18] 等一下如果你有空的話就留一下
[02:21] 讓我知道狀況
[02:22] 那個文綺也進來了Hello Hello
[02:26] 好魯姐魯姐我知道是這兩天才才進來的所以正常
[02:32] 好那請大家
[02:34] 先優先先去把那個
[02:37] 直播看完因為其實我的那個
[02:39] 講的內容的
[02:41] 含量蠻多的
[02:42] 就是你可能看完一次以後你還沒有辦法完全消化你可能要多看
[02:46] 多看幾次
[02:47] 對
[02:48] 啊我們這個直播的話就是會講一些我覺得
[02:51] 特定的主題
[02:53] 但是你可能有個基礎比較好去
[02:56] 政客大概就兩個
[02:57] 兩個小時左右
[02:59] 那你看完以後你就可以馬上去使用所以
[03:02] 越早看其實越好
[03:03] 對因為
[03:05] 像是可能你要拍斷音他可能有個你要
[03:08] 額外空的時間嗎可是
[03:10] 你在脆發文的話
[03:13] 你只要
[03:14] 你只要兩個你只要隨時上廁所你都可以發
[03:17] 對好所以請大家沒看的優先去去看完
[03:22] 好那今天就講脆的這個起號光綠
[03:25] 那首先就是要跟大家講
[03:27] 為什麼你需要了解這個
[03:29] 脆的起號光綠
[03:31] 因為假設有很多上課的人他們之前脆是完全是放廢的狀態
[03:36] 那可能你的脆上面可能是有這個
[03:40] ig 之前聯動的貼文都會一起發過來
[03:43] 那這樣子的情況基本上
[03:46] 呃你會發現脆其實基本上是沒有任何流量
[03:49] 因為基本上我覺得我個人認為
[03:52] 我觀察到現在就脆的也算吧
[03:54] 他是不不鼓勵你
[03:55] ig 的貼文直接聯動過來的你就直接
[03:59] 你就算你沒有一樣
[04:00] 你就不要讓他聯動你直接發可能效果都還比較好
[04:04] 對所以假設你的脆是一個新的帳號或是你之後
[04:08] 你可能想說我要開一個新的帳號
[04:11] 然後
[04:12] 然後是你已經經營一陣子但是你的流量其實都沒有
[04:16] 升真的起來然後也沒有任何追蹤或變現的話
[04:19] 那我們都稱之為說你是這個
[04:22] 呃還沒起號的帳號
[04:24] 對那今天就是來教大家怎麼起號
[04:26] 所以這起號不是只適用於
[04:29] 呃剛開的如果你開了很久但是都沒有起色其實也適用
[04:35] 好往下一頁
[04:38] 好那這個就是其中有一個客戶
[04:41] 那我只幫他們操作了兩個禮拜而已
[04:44] 那他們這帳號有個特性
[04:47] 他特性的第一個是這個是
[04:49] 呃逆你的帳號
[04:50] 所以很多人在問說呃就是沒有放大頭貼帳號可不可以去
[04:56] 操作答案是可以的
[04:58] 對因為這個他們的帳號就是就是沒有放大頭貼的
[05:01] 但是因為他們lobal設計的還蠻漂亮
[05:04] 所以其實我政客中也有跟大家講說
[05:06] 如果你可能
[05:09] 呃就你不知道要怎麼放出一個好看的大頭貼是
[05:14] 可能一些icon啊或是圖片啊或是什麼的話
[05:17] 那你不如就直接放你的大頭
[05:18] 你的大頭照
[05:19] 因為大頭照至少我還比較好去給你建議
[05:22] 你去比較好比較好理解去調整
[05:25] 但是如果你放什麼icon的話
[05:27] 可能就會放得很奇怪
[05:29] 啊他們是真的是有設計過的
[05:30] 所以這樣子放是ok
[05:32] 那基本上我只幫他們操作大概兩週的時間
[05:36] 原本他們的粉絲數是基金與利
[05:39] 大概是在100追蹤者以內
[05:42] 對所以就是
[05:43] 呃
[05:45] 其實他等於是原本是完全沒有粉絲基礎的
[05:48] 那我幫他操作兩週之後
[05:50] 其實他的追蹤人數已經現在已經快要破千了
[05:52] 應該這兩天就會破千
[05:54] 對然後他們因為他們是他們是做那個
[05:58] 呃平台的
[06:00] 就是軟體的abp
[06:02] 那基本上他們就是因為
[06:05] 他們操作太快了
[06:06] 所以他們
[06:07] 我們在那個討論群組裡面他們內部人員說啊
[06:10] 那個脆太強大了
[06:11] 他們現在有點擔心上架之外進來後
[06:14] 那個系統或是surfer就是不夠不夠大
[06:17] 所以可能他們要去
[06:19] 隨時去調控一下那個狀況
[06:20] 不然他們可能平常會爆表
[06:22] 所以基本上效果是非常好
[06:25] 那所以他們也非常滿意我幫他們代操的成果
[06:29] 那基本上大家來買這個課程
[06:31] 或是來上陪跑課的話
[06:33] 你們都是用可能
[06:34] 十分之一的價格在享受我幫他們創造的結果
[06:38] 所以大家一定要去
[06:40] 然後呢去
[06:41] 等一下有問題隨時提出來
[06:43] 對那我等一下有請丹妮是
[06:45] 那個呃分享他那個作業
[06:48] 我等一下看一下說大家作業做狀況
[06:50] 對好大概是這樣
[06:52] 所以就是會講怎麼去重新開始起號
[06:55] 的方式
[06:56] 那因為有些頭影片案例我還來不及
[06:59] 完全加上去
[07:00] 所以我可能會用切換螢幕的方式
[07:02] 但是這個簡報
[07:04] 我們之後會提供給大家
[07:06] 等個三四天
[07:07] 我稍微會再把一些案例再加得更完整
[07:11] 會來提供給大家這樣子
[07:13] 好下一頁
[07:15] 不是很下一頁
[07:16] 可是其實都是我自己的企業
[07:18] 但是好ok
[07:20] 測試階段的概然
