[00:00] 能量清理一有
[00:01] 但是他不知道怎麼推廣跟行銷自己
[00:08] 那我們現在也不做推廣
[00:10] 老實說我們做的是什麼吸引
[00:13] 也就是說他不知道怎麼吸引他的準客戶
[00:18] 來到他面前
[00:19] 所以他可能做的能量層面的工作
[00:22] 但是他沒有學會地球人的方法
[00:26] 所以這個很重要
[00:28] 這個是為什麼我會說這是物區
[00:31] 但也因為有這三個物區
[00:33] 會造成一個什麼事情
[00:34] 來大家看一下
[00:36] 給大家看一下全職升薪零工作者的收入分佈
[00:40] 這個是很殘酷的現實
[00:42] 只有8%的人少數人能夠達到8萬以上
[00:46] 然後大部分的人可能是落在4萬以下
[00:51] 那中間還有一個可能就是4到8萬之間
[00:55] 所以絕大多數的升薪零工作者
[00:58] 停留在哪裡
[00:59] 他停留在一個學很多
[01:01] 但是賺很少
[01:03] 那也學很多等於什麼
[01:04] 我跟你說也等於花很多好嗎
[01:07] 他們停留在一個花很多學很多
[01:10] 但是賺很少的循環裡面
[01:13] 所以呢我要給升職升薪零工作者一個建議
[01:17] 是什麼呢
[01:18] 今年度開始
[01:20] 今年度開始清流一有
[01:22] 如果你是全職在做的
[01:24] 很重要的事情
[01:25] 第一個你的能量一定要穩定住
[01:28] 也就是說如果你再做升薪零工作
[01:31] 如果你再做跟情緒有關
[01:34] 你要叫人家不要內耗啊
[01:37] 或者是你要叫人家收入要穩定
[01:39] 那請你自己一定要做到這個東西
[01:43] 好你自己要做到
[01:45] 因為有一些在服務的升薪零從業者
[01:48] 比較特別
[01:49] 他們是可能自己也很內耗
[01:51] 但是要協助人家不要內耗
[01:53] 你有沒有覺得這裡哪裡怪怪的
[01:56] 有沒有啊有聽懂我嗎
[01:57] 有聽懂我說的幫我那個打個懂
[02:00] 你知道我的意思對不對
[02:02] 如果你要跟人家說
[02:04] 那個你的財務要變得健康
[02:06] 請問你自己是不是財務要健康
[02:09] 可我這麼說合理吧
[02:11] 對不對懂得打懂
[02:13] 對不對懂嘛對不對
[02:15] 所以呢
[02:16] 你要做的事情是什麼
[02:19] 你對你做不到怎麼協助人
[02:21] 亮亮說的對
[02:22] 那你做不到怎麼協助人
[02:24] 這個是一個很大的問題哦
[02:26] 那你你的裡面自己知道沒做到
[02:29] 那會發生什麼一件事
[02:31] 你都不你只是自己騙自己
[02:34] 我跟大家說一個很真實的例子
[02:37] 我曾經有一個朋友
[02:38] 他跟我說他現在那個
[02:40] 他這個月收入很糟糕
[02:42] 結果你知道他做了什麼事情嗎
[02:44] 他他就去開了一個什麼
[02:47] 就是一個很厲害的什麼財富規劃
[02:50] 或什麼的哦
[02:51] 就的一個個案服務哦
[02:54] 好像是我忘記多少錢
[02:56] 一次個案可能就是6000海拔錢之類的
[02:59] 我忘記了哦
[03:00] 然後呢
[03:01] 嗯我我為什麼要提到這個事情是因為
[03:05] 我這個朋友你看哦
[03:07] 我這個朋友他是不是
[03:10] 自己收入還不穩定
[03:11] 甚至那個月的房租還不確定怎麼來
[03:14] 但是他開了一個太大於他的東西
[03:18] 那他
[03:19] 後來他就跟我吃飯的時候
[03:20] 他說怎麼辦
[03:21] sally 我很焦慮
[03:22] 我說怎麼了
[03:23] 他說怎麼都沒有人報名我的個案
[03:25] 我說然後我很久沒關注他
[03:27] 我就說你什麼個案啊
[03:28] 他講了之後我就很驚訝我就說
[03:30] 親愛的你介不介意我說事實啊
[03:33] 我問一下哦
[03:34] 你要開財務就是自由的這類型的個案課
[03:38] 但是你的措施財務要很穩定
[03:40] 但你自己連穩定都沒有
[03:42] 你現在連
[03:43] 下個就是下個月的房租都還沒有
[03:46] 然後你現在那麼焦慮
[03:48] 然後你跟人家說你要開這個
[03:50] 你有沒有覺得不現實
[03:52] 哦理解我的
