[00:00] 你一下
[00:05] 說明會
[00:06] 嗯
[00:08] 我前面
[00:10] 你看我在想
[00:13] 我用這個講
[00:15] 好
[00:16] 這樣
[00:18] 聽到否
[00:20] 嗯
[00:21] 有
[00:23] 好我前面就是關注到這個講
[00:25] 就是說我前面一講一開場就會講說
[00:28] 前面有什麼獨特的地方
[00:31] 第一個就是我
[00:33] 這個行銷經驗花
[00:35] 很多的錢
[00:37] 然後呢
[00:38] 整理出來了
[00:40] 然後整理各家行銷優勢
[00:42] 整出最簡單的學習的方法
[00:45] 然後不必拍那麼多片
[00:47] 就讓行銷變得很
[00:49] 不用花那麼多的時間
[00:51] 這樣子
[00:52] 就可以開始做了
[00:54] 就是
[00:55] 我們應該花更多行銷應該是花很少時間做的事情
[00:59] 那
[01:00] 然後外面這個我有一套方法呢外面沒有
[01:03] 那我這樣也會講就是外面沒有的這套方法
[01:06] 它非常的省時間
[01:08] 好
[01:09] 所以算是很乾的乾貨
[01:11] 然後呢可以找到屬於你個人的行銷方式
[01:14] 跟建議的AI的資料庫
[01:16] 跟用AI工具
[01:18] AI工具這是我會交給你們
[01:20] 好
[01:21] 然後呢
[01:22] 然後你現在會有個疑慮就是
[01:24] 結果一個疑慮就是會花很多錢
[01:27] 那我今天講的是濃縮包
[01:29] 所以呢
[01:30] 最後是買3000
[01:31] 如果你完成功課就推你3000
[01:33] 總共30個小時
[01:34] 所以你就不用擔心了
[01:35] 你就給他有方便經下去了
[01:37] 所以你不用擔心我要賣很貴的庫城
[01:39] 好你自己看我的內容覺得是否合適
[01:42] 好那我這邊這故事我就不講了
[01:45] 故事
[01:46] 故事你都知道
[01:48] 然後我學完之後呢
[01:50] 遇到了這個
[01:53] 老曾老師之後呢他說
[01:55] 對
[01:56] 對這邊就直接遇到陳老師
[01:58] 那中間那一段我都不講
[01:59] 我是講說
[02:00] 他只說建議我做
[02:02] 身心領域大件跟產業的行銷
[02:05] 然後我就在整理我
[02:07] 21來所學
[02:10] 好那
[02:11] 然後他有一個提示就是
[02:13] 要教的非常的簡單
[02:15] 就是一聽身心領老師跟
[02:17] 現場產業一聽就懂
[02:19] 然後呢
[02:20] 好那我現在先講這個
[02:22] 一般比較官方的定義行銷
[02:24] 就是透過創造溝通傳遞
[02:26] 跟交換價值是客戶
[02:29] 顧客客戶跟合作夥伴
[02:31] 跟整體社會能受益的活動
[02:33] 然後的組織跟過程
[02:35] 聽起來很饒舌對不對
[02:37] 我把他講
[02:38] 講成身心老是最聽得懂的就是愛
[02:41] 就是說他其實他的本質
[02:43] 我看起來就是愛
[02:44] 因為你就想看看你自己的家人
[02:46] 已經腰閃到了
[02:47] 然後你知道哪個醫生可以救他
[02:49] 所以你分享這個醫師很專業
[02:51] 想盡辦法把它拖出去
[02:52] 這就是你在傳遞跟溝通價值
[02:54] 那如果你是行銷公司
[02:56] 哇你或是你有行銷能力
[02:58] 你一通網路行銷工具
[03:00] 你覺得這個醫師很好
[03:02] 那他不再延遲就只會做
[03:04] 那你就會溝通很多人去
[03:06] 那就是口碑行銷了
[03:08] 那你會用很多工具
[03:09] 包括做自媒體
[03:11] 甚至你自己是行銷公司
[03:13] 你就跟他談怎麼樣彼此的合作
[03:16] 所以你傳遞的價值
[03:17] 你讓醫師
[03:19] 你讓很多人那個
[03:21] 腰閃到骨頭不好的人
[03:23] 有地方可以馬上解決他的痛
[03:26] 那你也讓這個醫師
[03:27] 他可以去獲利
[03:29] 然後他就可以持續做這件事情
[03:31] 他就不會倒退
[03:32] 然後呢你又從中間獲利了
[03:34] 所以你當大家都受益
[03:36] 這就是我講的就是很簡單
[03:38] 生活中就聽得懂的舉例
[03:40] 所以他就是整
[03:41] 讓顧客 客戶 合作夥伴
[03:44] 跟整個社會你都能受益了
[03:47] 其實他就是這麼一個生活化的過程
[03:51] 到這邊可以理解
[03:52] 你就是分享嗎
[03:54] 對 就是分享
[03:58] 對 但是
[03:59] 分享價值
[04:01] 其實就是傳遞價值
[04:03] 分享感覺就是傳遞價值跟溝通價值
[04:07] 所以這樣而已
[04:09] 其實行銷你想到
[04:11] 就是你用這個角度看
[04:13] 你是不是覺得行銷
[04:14] 行銷就這樣而已
[04:16] 所以如果你是一個
[04:18] 好 我們現在往下講
[04:20] 行銷有幾個重點核心
[04:26] 我們把行銷變成
[04:28] 他就是我把行銷整理成最底層的
[04:32] 就是因為外面很多人
[04:34] 去學很多的行銷
[04:35] 都會到最後就被補皮
[04:38] 補皮就是說
[04:39] 就是他會被演算法
[04:41] 被各種的工具
[04:43] 被繞著團團賺
[04:44] 所以我們回到最基礎的本質
[04:47] 就是行銷就是負責溝通
[04:50] 放照價值跟溝通價值
[04:52] 跟交換傳遞跟交換價值
[04:55] 這是他的最本質
[04:56] 但這個樣子大家聽不懂
[04:58] 我把它變得一個很簡單
[04:59] 思想上沒有人這樣講
[05:02] 但是我把它整理成最簡單的
[05:05] 所有我學到的課程整理成
[05:08] 這個九宮格
[05:10] 這個叫做行銷的
[05:12] 就是想創造價值
[05:13] 其實在我們的角度就是產品
[05:15] 因為創造價值這個太空泛了
[05:17] 我們講產品
[05:19] 那產品的目的就是
[05:21] 讓人家離開動骨得到他的快樂
[05:23] 我們講滿足需求
[05:25] 這樣講離骨得樂人家
[05:26] 生性靈產業會覺得比較快樂
[05:29] 所以我就是把這個換了一下
[05:32] 溝通價值就是
[05:34] 它在傳播
[05:35] 它就是溝通這個價值
[05:37] 說這個東西有多好有多好
[05:39] 或是你在傳遞這個東西的賣點
[05:42] 那這個傳溝通價值
[05:44] 它就有一個最底層的邏輯就是信任
[05:46] 因為你只要建立這個信任而已
[05:49] 那
[05:51] 然後交換跟傳遞就是在價值
[05:54] 交換跟傳遞就是一個系統
[05:57] 那這個系統就是
[05:59] 重點核心的
[06:00] 就是要複製所有的框架的邏輯
[06:02] 才能把它規模化跟量大化
[06:05] 那我們再講到
[06:07] 所以我用用的
[06:09] 心理學跟腦科學有件事情
[06:12] 這個我再補進去
[06:14] 就是所有的東西
[06:16] 最容易記的就是
[06:18] 7的正負2
[06:20] 就是在腦科學裡面
[06:22] 因為人看到太負
[06:23] 因為人的腦子
[06:25] 它天生的目的是哪來生存的
[06:28] 你越燒腦就越耗能
[06:30] 所以人的簡單都只是3
[06:32] 最容易記的就是3
[06:34] 其實是4
[06:35] 就是7正負2是一般人記的
[06:38] 就是最低到5
[06:40] 但是因為很多人他最容易
[06:42] 馬上接受的就是3或4
[06:44] 所以為什麼我們在腦科學上面
[06:46] 我就把它整理成最簡單的就是
[06:48] 只要記著3個要素
[06:50] 所有看所有的行銷回到3個要素
[06:52] 產品傳播跟系統
[06:54] 你只要回到3個要素
[06:55] 就可以看所有的事情
[06:56] 然後你只要記著3個東西
[06:58] 就是懷號化腿
[06:59] 這樣我們很好記
[07:00] 就是產品傳播跟系統
[07:03] 然後懷號化腿就學完了
[07:05] 就是所有的大缸
[07:07] 所有的功格就全部
[07:08] 所有的行銷
[07:10] 至少在身心健康產業
[07:12] 這幾個字就夠用了
[07:14] 好我們來講一下
[07:16] 壞
[07:17] 它重點叫低谷德
[07:19] 它要有自己獨特的優勢
[07:21] 跟它的定位
[07:23] 這邊我在想
[07:25] 我又沒寫定位定位
[07:27] 為什麼我改成品牌定位
[07:28] 反正我們可以討論品牌或靈魂
[07:30] 還是行之定位
[07:33] 我覺得就
[07:35] 看那個不同受眾切就好了
