[00:00] 我都寫得差不多了
[00:02] 然后
[00:05] 第一堂课就是
[00:07] 啊说明会的部分
[00:09] 昨天有讲的嘛
[00:10] 就是先讲他能够解决什么问题
[00:13] 适合什么人
[00:14] 我是谁我学过什么
[00:17] 我有什么案例
[00:18] 然后这最基础的课程
[00:20] 我教了一遍之后呢
[00:21] 跟大家讲接下来是什么课
[00:23] 然后你只要学最基础的东西
[00:25] 你就可以产生
[00:27] 结果
[00:29] 然后呢
[00:31] 第一个课呢是
[00:33] 基础理论
[00:34] 跟怎么样应用在案例上跟分析你的现在
[00:39] 然后开始就可以写文案了
[00:42] 那第二堂课呢就是
[00:46] 然后他就功课就是要自己做自己的分析啦
[00:49] 那第二堂课就是
[00:51] 因为很多人找不到自己的定位
[00:53] 所以我们就会先第一堂
[00:55] 这个我们可以讨论一下
[00:56] 我可能第一堂课先讲
[00:59] 用比较客观的数据
[01:01] 就是例如说nbti好了
[01:03] 例如说
[01:05] 大家比较守为守之e nbti的类图啊
[01:09] 然后disc来做检测
[01:11] 就是自己先做这种检测
[01:13] 同时这一篇就可以发一篇贴文
[01:15] 因为nbti就是一个
[01:16] 如果听世风的课
[01:17] 他就是一个很好的一个共鸣话题
[01:20] 这样
[01:22] 等那天就可以出个贴文了
[01:24] 这样
[01:25] 我就开始每天在做暖身贴文
[01:28] 就是就可以出暖身贴文了
[01:31] 这样
[01:33] 暖暖身型
[01:36] 贴文
[01:38] 然后呢第二堂课呢
[01:41] 啊
[01:42] 就是开始写字传
[01:45] 然后这边这堂课可能可以再加上
[01:48] 你你如果听完世风的课
[01:50] 可以再可以再把什么东西补上来都可以
[01:53] 如果这东西都可以再补
[01:55] 就是他不叫他的内容有一些地方就在讲那个
[01:59] 讲这些东西但是不多
[02:02] 那我自己本来就想要用一些工具
[02:04] 那你觉得有什么工具不错都可以
[02:06] 例如说星座啊
[02:07] 最近星座的话题也蛮红的
[02:09] 啊之类的
[02:11] 星座星座人类图子微生命灵书
[02:15] 对之类的你这一排都可以玩一遍那样子
[02:17] 这是一个
[02:19] 人类图子微
[02:20] 人类图你去讲好了
[02:21] 这个这个视频专业就不要我来讲
[02:24] 我会cue一个小段给你讲
[02:26] 这样子
[02:27] 好所以就是你这招客观客观检测方案嘛
[02:30] 就是已经流行比较久的客观方案
[02:34] 还有八字啊什么的有的没的
[02:37] 然后第二个呢
[02:39] 你从这边就会找到一点点头头绪
[02:42] 然后把这些数据全部输入在ai里面
[02:45] 就这堂课就可以从这边去聊很多话题
[02:48] 然后第三堂课呢就是讲到字传怎么写
[02:51] 就是我之前写的那个字要怎么写
[02:54] 从小到大把你自己拆解一下
[02:56] 好然后互相做分享
[02:58] 好我觉得你我会带你写
[03:01] 最好那时候就是你或是谁
[03:03] 就可以写了
[03:05] 嗯这你就可以加很多对对对
[03:06] 这边你就自己加了就不用我了啊
[03:09] 或者是你最好不要把它太复杂话
[03:11] 就是你看我每个点就只有三个点
[03:13] 在做眼神那就太多
[03:15] 会就是说三个点例如说
[03:18] 算命系的你就自己再加三个上去
[03:20] 然后例如说什么系的再加上去
[03:22] 就是之类的
[03:24] 也可以啦就是反正就是
[03:27] 之类的就是
[03:29] 不用太
[03:31] 马亚利就不用了
[03:32] 马亚利感觉很感觉那个都是
[03:35] 都是安利的用的东西
[03:36] 是吗
[03:37] 安利那个那个谁会啊
[03:40] 哎哎哎哎哎哎哎哎哎啊
[03:42] 我知道他现在人就要去南京了
[03:44] 他已经要为了凯利要去南京住了
[03:47] 这样已经用不到他
[03:49] 他没办法做这个事他也不喜欢做
[03:52] 还有还有其他人啊
[03:55] 然后找出写出自然找到个人卖点
[03:59] 那就是怎么写我就写
[04:01] 说到大你发生了什么事都写下来
[04:03] 那你从里面觉察了什么
[04:06] 觉察哎呀哎呀哎呀哎呀哎呀
[04:09] 哎呀哎呀哎呀哎呀
[04:10] 不远啊这
[04:11] 扎整扎整等一下
[04:14] 只有你不远啊
[04:15] 嗯
[04:16] 比如说
[04:18] 小时候发生的
[04:22] 故事
[04:24] 然后呢
[04:26] 痛苦
[04:27] 为什么这还叫瑞
[04:29] 中的觉察
[04:32] 嗯
[04:33] 然后例如说
[04:38] 如何走过
[04:42] 觉察以重新定义啊
[04:44] 哎呀哎
[04:45] 痛苦的
[04:47] 觉察以及
[04:51] 如何定义
[04:53] 定义就是做翻转嘛
[04:55] 你可能你的痛苦就是你的优点了
[04:57] 然后
[04:59] 看走过
[05:01] 然后找到自己的优势
[05:03] 找到自己的
[05:05] 优
[05:07] 独特优势
[05:09] 因为我第一堂课就讲swater
[05:11] 就是s就是内部优势了嘛
[05:13] 所以我为什么让你往内
[05:14] 寻找自我优势
[05:17] 这个说不定就对你有帮助的
[05:18] 嗯
[05:20] 嗯对啊
[05:21] 嗯然后呢
[05:24] 然后从原生家庭开始写嘛
[05:26] 所以大家就会很有共鸣
[05:28] 我可以想象这个就是变成原生家庭的
[05:31] 课程啊
[05:31] 因为我以前上很多这种课程
[05:33] 上超多
[05:35] 嗯我可以我大概知道可以
[05:37] 会发生什么事情
[05:38] 就是
[05:39] 例如说就会讲你爸爸妈怎么对你啊
[05:41] 你妈妈怎么对你啊
[05:42] 然后好
[05:43] 那你还换一个视角来看
[05:45] 如果你现在长大了
[05:46] 你会觉得爸爸妈妈是什么
[05:48] 然后因为现场都升星老师嘛
[05:50] 他们就会加上很多他自己的定义
[05:52] 他就帮他翻转跟觉察
[05:54] 大家就哇他们就很疗愈这样
[05:57] 就可以
[05:58] 有不同的定义以及有更里面
[06:01] 找到你的独特优势
[06:03] 例如说
[06:04] 啊你就可以从里面看到哇
[06:05] 原来
[06:06] 你是这么的
[06:10] 有些特质是别人没有的
[06:12] 嗯那现场上课的学员
[06:14] 就可以给你这种反馈
[06:16] 就从那边开始会有很多很多的反馈
[06:18] 然后这边这场课
[06:19] 其实也在也在做这个
[06:21] 因为那个绝对做不完
[06:22] 三个小时绝对讲不完这个
[06:24] 可能
[06:25] 可能可能你人生有五个故事
[06:27] 或是有十篇
[06:29] 那你一篇20分钟
[06:31] 根本就
[06:32] 没办法讲不完
[06:33] 那再加上反馈
[06:35] 加上一个案例反馈
[06:36] 这个绝对做不完
[06:37] 所以我怀疑第三跟第四堂课
[06:39] 应该会
[06:40] 玩很久
[06:41] 这样子
[06:42] 嗯
[06:43] 找到你的优势就好了
[06:45] 嗯
[06:46] 你找到不好
[06:47] 你自己的劣势跟自己的优势
[06:49] 你就从里面会抓到
[06:50] 这十瓦特份之中的部分
[06:53] 然后呢
[06:53] 第五堂课我自己觉得这不够
[06:55] 但是你可以把它加进来
[06:56] 第五堂课讲流量
[06:58] 然后文案
[06:59] 文案你这边可以在
[07:00] 你就从
[07:01] 我们就可以从侍风那边抓一点
[07:03] 脆的的内容
[07:04] 然后fb我会讲
[07:06] line我会讲
[07:07] 哦
[07:07] 因为我比较常用fb跟line
[07:09] 脆我脆的话可以用用他的版本
[07:12] 因为我也是跟他学的
[07:13] 然后
[07:14] 但其实脆跟fb
[07:16] 就是比较短的而已
[07:17] 其实没什么太大变化
[07:20] 哎
[07:20] 感觉没有什么变化
[07:22] 然后就是很短的fb这样子
[07:24] 然后然后那个
[07:28] 拆解文章
[07:29] 就是很多的文章的公式就是很多
[07:32] 常用流量文跟常常见什么文
[07:35] 这样子
[07:36] 这个要从侍风那边抓出来
[07:38] 嗯
[07:39] 然后
[07:41] 他有他的版本啊
[07:42] 我有我的版本
[07:43] 然后我就反正两边我融会观动一下
[07:46] 第七堂课就讲商业模式
[07:48] 然后
[07:50] 第呃然后第八堂课怎么写错了
[07:53] 商业这个是这怎么拉下来
[07:55] 这个这个要放在这里
[07:57] 有
[07:58] 这个怎么拉
[08:00] 你说这个要
[08:01] 这三个要把他抓进来后面
[08:05] 抓进来是这一格的后面我抓放错了
[08:07] 这三个是这个哦
[08:09] 这个的对对对
[08:10] 因为我后来改了我的标题
[08:12] 然后
[08:13] 第七堂课他就讲我一遍线
[08:16] 嗯
[08:17] 遍线的话就是
[08:19] 对啊就讲商业模式跟按照那个流程跑啊
[08:22] 就是一般商业模式啊
[08:23] 对然后还有商业的
[08:26] 层次
[08:27] 我会讲商业层次就是
[08:29] 我之前有商业堂课他讲超棒
[08:31] 商业有一个比试链
[08:33] 就是从小到大的格局这样子
[08:36] 嗯所以我会写
[08:43] 商业模式
[08:45] 然后商业格局
[08:47] 哦
[08:48] 没有声有这个
[08:51] 商业格局
[08:54] 他就讲系统思维跟讲
[08:56] 就是他会把所有的商业
[08:57] 从小到大铺上给你看
[09:00] 然后在上面就是
[09:03] 反正那个那个我觉得他讲的超好
[09:05] 这是从
