[00:00] 你是深信念老師
[00:01] 或是你是一個受身教練
[00:03] 那就很
[00:05] 我講話
[00:07] 就是說就沒有很沒有差異化
[00:09] 因為那麼多人
[00:10] 比如說你是保險業
[00:11] 超多會保險業的
[00:12] 那你到底
[00:14] 嗯
[00:15] 就是我為什麼要追蹤一個保險業的
[00:17] 就是
[00:18] 那麼有一千萬個保險業者
[00:20] 那我追蹤你你要幹嘛
[00:22] 所以你必須要的主要呢
[00:23] 是你的
[00:24] 專業能力
[00:25] 專業能力呢
[00:26] 你要去寫出你的特色
[00:29] 然後你在專業能力上你可能具體
[00:31] 你可能經營了十年
[00:33] 你幫超過一萬客戶解決問題
[00:36] 這是一個量化指標
[00:38] 可以
[00:39] 可以輔佐證明你在這個專業上
[00:41] 還有人
[00:42] 很有一些你的經驗跟你的特色
[00:45] 但是你可能要製造一些反差感
[00:47] 可能是你的生活面向
[00:49] 或是興趣的面向
[00:51] 讓大家會對你這個人的想像是
[00:53] 比較立體的
[00:55] 比如說你可能是一個
[00:56] 理財規劃師
[00:57] 那理財規劃師通常
[00:58] 他就是很明信嘛
[01:00] 可是你說我是一個懂
[01:01] 身心靈的理財規劃師
[01:02] 那人家就會覺得是
[01:04] 有想像空間
[01:05] 然後爬山向老通常是
[01:07] 樂愛納治啦
[01:08] 可是你卻說你是
[01:09] 樂愛AI的爬山向
[01:11] 那就會一覺得說
[01:12] 很有趣
[01:13] 有個反差感
[01:15] 但是你不要說
[01:17] 最後變成是
[01:18] 都要寫AI
[01:19] 沒有寫爬山
[01:20] 那你可能要從你想像
[01:22] 你的主次是什麼
[01:23] 對
[01:24] 然後身心了
[01:25] 是非常商業
[01:27] 那就是哦
[01:28] 生小生很商業那
[01:29] 特別像我有個瑜伽老師就是他
[01:31] 呃商業邏輯很好
[01:33] 所以他
[01:34] 他寫文章的格式其實都很
[01:37] 都很符合這個
[01:38] 萃上面的這個經營的方法
[01:40] 就會讓人這樣
[01:41] 雖然他沒有
[01:42] 直接在講商業
[01:43] 但是就會讓人家覺得
[01:44] 很反差
[01:45] 跟一般的生心靈
[01:46] 老師在寫東西不太一樣
[01:49] 對那他有個
[01:50] 我這邊寫了不要塞八字我的
[01:52] 很像詐騙
[01:53] 什麼意思呢
[01:57] 抱歉
[01:58] 就是你要去想一下
[01:59] 八什麼是八字我的
[02:01] 呃我等一下
[02:02] 我等一下給大家看一個反應
[02:03] 比方說什麼
[02:04] 呃
[02:05] 端影音已經是一個八字我的
[02:07] 然後你說你是一個樂愛
[02:08] 怎麼成長型詞為
[02:09] 又是一個八字我
[02:10] 八字我就是一個
[02:11] 過度被爛用的詞彙
[02:13] 然後甚至用到
[02:14] 大家會學這個詞
[02:15] 多都是詐騙在用
[02:16] 然後再加上是一個什麼
[02:18] 呃我是一個什麼
[02:19] 創業家
[02:20] 創業家偶直銷嗎
[02:21] 還是什麼
[02:22] 然後再來就是
[02:24] 再來就說我是一個
[02:25] 那個
[02:26] 嗯
[02:27] 嗯
[02:28] 嗯
[02:29] 哦身心靈其實也有一點點
[02:31] 所以如果你說有什麼
[02:32] 公司出現你這個字節裡面出現
[02:35] 我真心靈
[02:36] 然後樂愛成詐
[02:37] 然後什麼什麼分享生活
[02:39] 然後創業中
[02:41] 就會整個想說
[02:43] 是詐騙嗎
[02:44] 還是什麼
[02:45] 對就會這種感覺
[02:46] 所以不要這樣子用太多這種
[02:48] 這種爛用的
[02:49] 太太過被爛不詞彙
[02:52] 嗯嗯
[02:53] 好這邊呢幫大家整理了
[02:55] 之前整理過寫的很好
[02:57] 100個不同風格的字節
[02:59] 那很多呢
[03:00] 字節他其實是跟我寫的不同風格
[03:03] 但是我也覺得很好
[03:04] 因為他只要符合一些大方向的原則
[03:07] 然後甚至是你如果真的
[03:08] 你某個風格很強烈的話
[03:10] 甚至可以無視這些
[03:12] 無視這個
[03:13] 無視這個
[03:14] 這邊
[03:15] 這邊的六個原則
[03:16] 可能某個
[03:17] 哇你的故事度報表
[03:19] 其他的都一分
[03:20] 其實沒差
[03:22] 對但是因為很多人他們可能
[03:24] 就是
[03:24] 現在可能不是那麼
[03:25] 你們很多人可能沒有那麼有經驗
[03:27] 所以我先給你講一些原則
[03:29] 可以先做到70分
[03:30] 先至少每個都有做到
[03:32] 那這邊文章就是點進去看看
[03:35] 有在浮現這個
[03:40] 好那我就直接
[03:41] 去跟你們講這邏輯
[03:43] 從這邊點
[03:45] 要
[03:45] 大家要明白一件事情大家在
[03:48] 他
[03:48] 呃如果是用電腦或是手機的話
[03:51] 他可能是
[03:52] 就是
[03:52] 只會看到
[03:54] 這個
[03:55] 這個截圖的卡片
[03:57] 對用手機的話
[03:58] 好像是直接點進去吧
[04:01] 點進去的話其實
[04:02] 如果你寫太長的話
[04:03] 字是會被省略的
[04:05] 所以你的重點心不要寫在字
[04:08] 不要寫在會被省略
[04:10] 重點其實不要放到後面會被省略的地方
[04:14] 對用電腦的話就會全部出來
[04:15] 但用手機的話
[04:16] 我記得是會省略的
[04:18] 所以你要去用手機去看一下
[04:20] 你到底有沒有東西是被省略的
[04:22] 你不要把你最重要的重點
[04:24] 全部寫在被省略的地方
[04:25] 那就是
[04:26] 嗯就就是完全就不會長粉
[04:29] 因為你完全無視
[04:31] 完事無視基本邏輯
[04:33] 對那這邊我整理了幾個
[04:35] 你寫的比較好
[04:35] 我大概帶過去講
[04:37] 像為什麼覺得好
[04:38] 這個就是嗯
[04:40] 照片蠻大的
[04:41] 很好
[04:42] 然後而且你照得很漂亮
[04:44] 很乾淨
[04:45] 然後名稱名稱這邊
[04:48] 呃很明確他是整理師
[04:50] 然後叫鬼類
[04:51] 完全沒有爭議就一清二楚
[04:54] 下面就是女Live看不懂
[04:56] 但是看起來什麼院長很厲害
