[00:00] 我們即將開始先跟大家講一些我們今天的
[00:04] 我們今天的直播進行的方式
[00:07] 大家有看到那個繁鬆虎
[00:10] Beni是這個數位解報式的主理了
[00:14] 那他今天的網路很榮幸
[00:16] 也邀請大家也來到現場
[00:18] 因為等一下他可能會隨時跟我們互動
[00:21] 就是他在學院的角度
[00:25] 就是說他提一些問題
[00:27] 可以讓大家更深入的去瞭解
[00:30] 那大家以後今天直播的話
[00:32] 大家也都可以在底下去留言
[00:34] 那Denis他都會幫忙
[00:36] 去注意看大家的問題
[00:38] 我會隨時去回覆
[00:39] 因為我來講課收可能
[00:41] 一心多有
[00:42] 所以大家留言的話
[00:43] Denis會跟我講
[00:45] 等一下我們今天課程
[00:47] 也會有很多的練習的橋段
[00:50] 所以到時候也很歡迎大家
[00:53] 就是一起互動
[00:55] 但是我可能可以邀請
[00:57] 有的人可以舉手
[00:59] 可以打開麥克風來講話
[01:02] 對
[01:03] 那背後不多說
[01:04] 我們今天的這個
[01:06] 脆留量變現了這個課程
[01:08] 就我們就馬上開始
[01:10] 好
[01:11] 那相信今天
[01:13] 今天這個課程我準備得非常滿足
[01:16] 大概有50頁左右
[01:19] 所以時間也很緊湊
[01:21] 因為中間會有很多的體驗的橋段
[01:24] 讓大家來學習
[01:26] 首先我覺得還是先是我介紹
[01:30] 因為很多的可能跟我們太少
[01:32] 對那我是四峰
[01:34] 對我大概就是
[01:36] 這10年來其實我一直都
[01:38] 非常的喜歡進一支媒體
[01:41] 最早其實是在臉書上面
[01:44] 臉書上面就是那時候
[01:45] 我要寫要知識性的內容
[01:47] 不知道為什麼就突然就爆紅
[01:50] 對那時候其實我也不明就
[01:52] 然後就非常很多的這個
[01:54] 筆記啊
[01:55] 很學習心得啊
[01:56] 甚至是我
[01:57] 我可能那時候學到
[01:58] 一些上面的架構跟知識
[02:00] 然後我也開始去
[02:01] 那時候我會積極的去
[02:03] 辦讀書會跟工作
[02:04] 把同事會
[02:05] 就是很喜歡
[02:07] 辦活動
[02:08] 對
[02:09] 然後後來其實中間
[02:12] 很多的過程
[02:13] 就也不多提了
[02:15] 那我跟最近有的朋友
[02:17] 一個路給Parkis
[02:18] 他做這個
[02:20] 5G-Langual
[02:21] 5G-Langualization
[02:22] 我也不會趕快
[02:23] 他要抬羽巴音的
[02:26] 所以他反正
[02:27] 那幾乎我路上下
[02:29] 然後下集
[02:30] 聊就是我這10年
[02:31] 自媒體
[02:32] 怎麼進你的這個過程
[02:33] 那這10年來其實
[02:35] 認真講
[02:36] 就是
[02:37] 欸自媒體他其實
[02:38] 為我的這個
[02:39] 職業聲音
[02:41] 大家很多變現的機會
[02:42] 最早集我還幫朋友上架
[02:44] 他的英文課程到
[02:46] 他好上面
[02:47] 但是我是做社群學校
[02:49] 我想說
[02:50] 我會做社群學校
[02:51] 那這個
[02:52] 可以把他行教一下
[02:53] 我那課程賣得非常好
[02:55] 對
[02:56] 那好上面賣的是
[02:58] 那時候英文類別的第一
[02:59] 大概六五七年
[03:00] 那時候算是超過
[03:02] 超過我的
[03:03] 對然後後來
[03:04] 為什麼會想要辦
[03:05] 補書會
[03:06] 我覺得這個
[03:07] 我人格特質有關
[03:08] 就是我認為
[03:09] 其實社群他這件事情
[03:11] 是
[03:12] 你進行自媒體
[03:13] 其實他就是在
[03:14] 探現你這個
[03:15] 忍真死的一面
[03:17] 然後你可以去跟不同的連結
[03:19] 所以其實
[03:20] 最早的這件事情
[03:21] 一直到現在
[03:22] 其實都不是為了賺錢
[03:23] 可是因為
[03:24] 我覺得這件事情
[03:25] 很好玩
[03:26] 很有趣
[03:27] 所以我覺得大家進行自媒體
[03:28] 等一下也會講
[03:29] 就是很重要的一個點
[03:30] 是要找到你的這個
[03:32] 熱情跟你的這個初衷
[03:34] 對
[03:36] 然後這個
[03:37] 大概最後就提一下說
[03:39] 脆上面
[03:40] 為什麼我來教這個課
[03:41] 就是我大概是
[03:42] 從今年三四月的時候開始用
[03:44] 然後
[03:46] 我都發現說
[03:47] 突然之間發現
[03:49] 脆這個東西
[03:50] 其實他是
[03:51] 有個方法
[03:53] 在大概這半年的期間
[03:56] 從三百本師
[03:58] 長到了大概一萬
[03:59] 現在一萬四
[04:01] 就是其實連我自己也嚇到
[04:02] 你現在看三百
[04:04] 長到一切兩千
[04:05] 還合力
[04:06] 然後一萬四這個
[04:08] 對我來說
[04:09] 其實
[04:10] 證明一件事情
[04:11] 就是說其實
[04:12] 你從零開始
[04:13] 其實你是可以
[04:14] 把脆做起來
[04:15] 我會在脆上面去
[04:17] 最近也是
[04:18] 不需要辦讀書會
[04:19] 就是風勢不足的讀書會
[04:21] 甚至我以去嘗試很多
[04:23] 這個變現的一些模式
[04:25] 然後在課程中都會去跟大家分享
[04:28] 所以
[04:29] 在脆的話
[04:30] 我覺得他有個特性
[04:31] 就是你要
[04:32] 去從零開始增長
[04:34] 是有很大的機會
[04:36] 很多人說
[04:37] 最近演算把他改變了以後
[04:38] 會不會比較困難
[04:40] 其實
[04:41] 我這一個月
[04:42] 其實大概
[04:43] 半個月還得越起來
[04:44] 演算把他改很多
[04:46] 但是這個月其實我還是長
[04:47] 大概兩千分
[04:48] 他這個月其實我
[04:49] 比較忙沒有在
[04:50] 很認真的經營
[04:52] 所以我覺得
[04:53] 演算把他改變
[04:54] 當然是改
[04:56] 改變很多
[04:57] 但是其實這個
[04:58] 自媒體整個課程
[04:59] 我們的這個核心的價值
[05:01] 其實
[05:02] 其實不會改變
[05:03] 然後也都是
[05:04] 有效的
[05:05] 對
[05:06] 所以你
[05:07] 如果要去觀察一個
[05:08] 帳號到底
[05:09] 有沒有
[05:10] 這個
[05:11] 有效的話
[05:12] 就是你要去看說
[05:13] 到底是不是
[05:14] 有門IG其實分
[05:15] 很時或是他臉書
[05:16] 其實就很好
[05:17] 那
[05:18] 像我是
[05:19] 完全是素人的角度
[05:20] 然後去成長
[05:21] 雖然以前在臉書
[05:23] 有一段時間
[05:24] 往那之後
[05:25] 我就蠻低調的
[05:26] 就不是什麼大聲
[05:27] 我大了
[05:28] 所以這樣子
[05:29] 就是給大家做一個參考
[05:30] 說為什麼今天來了
[05:31] 講脆流量
[05:32] 變現的這個課程
[05:34] 好
[05:35] 那我們進到
[05:36] 我們下一頁
[05:44] 等我們下午
[05:45] 特別不要這個技術問題
[05:47] 好
[05:48] 首先呢
[05:50] 就是要
[05:51] 先到手裡去
[05:52] 好
[05:53] 首先
[05:54] 我們跟大家講一下
[05:55] 今天課程的這個
[05:57] 主價構
[05:58] 其實我定義的非常明確
[06:00] 就是
[06:01] 第一個是
[06:02] 我們先講
[06:03] 脆的這個
[06:04] 邏輯是什麼
[06:05] 他其實就是一個
[06:06] 精緻他
[06:07] 一層一層的
[06:08] 往上蓋上去
[06:09] 然後再來就是
[06:10] 你的這個
[06:11] 定位的部分
[06:12] 你要先讓你這個
[06:14] 有個
[06:15] 你經營這個
[06:16] 脆的這個字媒體
[06:17] 他有個
[06:18] 你有個很明確的這個
[06:19] 定位
[06:20] 等一下我們
[06:21] 我們會移去的講
[06:22] 然後去
[06:23] 找到自己的
[06:24] 優勢
[06:25] 然後也去找到
[06:26] 找到你自己的目標的
[06:28] 群眾
[06:29] 那其實他不定
[06:30] 要你不定
[06:31] 你可能現在
[06:32] 生活中一可能是做
[06:33] 工程師
[06:34] 或者你是做
[06:35] 心理師
[06:37] 但你在脆上面
[06:38] 其實你是可以
[06:39] 有個新的定位
[06:40] 就是要看你的目的
[06:41] 來決定
[06:42] 可能可以用他
[06:43] 發展的
[06:44] 副業
[06:45] 或者是你可以
[06:46] 用他來
[06:47] 發展你
[06:48] 事業的其中
[06:49] 比較快
[06:50] 對
[06:51] 那最後
[06:52] 我們會講說
[06:53] 流量部分
[06:54] 其實我覺得
[06:55] 脆的東西
[06:56] 他最大的特質
[06:57] 就是
[06:58] 這個
[06:59] 流量其實
[07:00] 我覺得是
[07:01] 非常高的
[07:02] 那這個其實
[07:03] 也是
[07:04] 現在我覺得
[07:05] 新的平台的一個特性
[07:06] 不管你是經營
[07:08] 專業你
[07:09] 或者是經營
[07:10] 其實你都
[07:12] 你都可以
[07:13] 挖從0
[07:14] 然後可以得到
[07:15] 非常大流量
[07:16] 甚至他變成
[07:17] 你自己個人
[07:18] 平台的一個部分
[07:19] 然後最後一個東西
[07:21] 其實也是一個
[07:22] 最神面
[07:23] 的東西
[07:24] 就是
[07:25] 到底在脆上面
[07:26] 要怎麼變現
[07:27] 其實如果大家在
[07:28] 社團裡面
[07:29] 去看
[07:30] 有些人的
[07:31] 健健
[07:32] 他的結果
[07:33] 他沒有
[07:34] 可以拿到自己的去
[07:35] 肯健健
[07:36] 就是
[07:37] 因為有些人
[07:38] 要玩加入
[07:39] 然後我肯就
[07:40] 截止了
[07:41] 因為現在
[07:42] 特質還滿多的
[07:43] 他說
[07:44] 一直錄續這樣多
[07:45] 我可以自己做
[07:46] 做不完
[07:47] 所以你要去
[07:48] 填那個健健的
[07:49] 直接表
[07:50] 會幫你
[07:51] 去好的去看
[07:52] 你會看到
[07:53] 其實像有些人
[07:54] 他們
[07:55] 已經在脆上面去
[07:56] 變現
[07:57] 甚至是我之前
[07:58] 帶皮革的一個學生
[08:00] 幫他自己
[08:01] 自己來玩
[08:02] 然後發一篇文章
[08:03] 然後他其實
[08:04] 馬上就
[08:05] 有人去找他
[08:06] 去做他的鼓舞
[08:07] 他去做這個身心靈
[08:08] 然後他就
[08:09] 可能變現
[08:11] 肯定是可以變現
[08:13] 就是
[08:14] 在這個部分
[08:15] 其實他有很多的機械
[08:17] 然後他也需要
[08:18] 就是一層一層的
[08:20] 精緻他
[08:21] 結構去往上去
[08:22] 其實你
[08:23] 一個地方
[08:24] 做不好
[08:25] 的話
[08:26] 你可能
[08:27] 最後
[08:28] 就沒有機會變現
[08:29] 所以他其實
[08:31] 說難不難
[08:32] 但是他是一個
[08:33] 很緊密的
[08:34] 連接的一個環節
[08:35] 那也是
[08:36] 很多了
[08:37] 他就去變現
[08:38] 我相信
[08:39] 都很難
[08:40] 但是他要把它
[08:41] 變成是一個方法
[08:42] 我相信他
[08:43] 真的是比較少
[08:44] 一點至少
[08:45] 自己是沒什麼看到
[08:47] 對
[08:48] 好
[08:49] 那這個就是
[08:50] 今天課程的架構
[08:52] 那其實我再講
[08:54] 一個開場白
[08:55] 這個其實
[08:56] 也很重要
[08:57] 大家就是要
[08:58] 認真吸收一下
[09:00] 其實
[09:01] 沒有怕都很重要
[09:03] 那沒關係
[09:04] 如果
[09:05] 你自己
[09:06] 你可能
[09:07] 可以這樣
[09:08] 拿一個指出來
[09:09] 或是你
[09:10] 如果是
[09:11] 你自己
[09:12] 軟體的話
[09:13] 你可以
[09:14] 用電腦
[09:15] 這邊做
[09:16] 你自己
[09:17] 那你可以
[09:18] 到分享
[09:19] 來社團裡面
[09:20] 我都會
[09:21] 再給你一些
[09:22] 回饋
[09:23] 所以沒關係
[09:24] 就盡量吸收
[09:25] 那其實我之前
[09:27] 辦了兩場實際的
[09:28] 脆的工作
[09:29] 那我最常
[09:30] 跟大家講的一件事情
[09:31] 就是
[09:32] 其實我覺得
[09:33] 脆的上面精靈不好
[09:34] 因為我講一個比方
[09:35] 其實
[09:36] 精靈脆的它其實
[09:37] 就像是說
[09:38] 今天要考一個考試
[09:40] 但是
[09:41] 考試的答案
[09:42] 都已經寫在黑板
[09:43] 黑板上面
[09:44] 就是
[09:45] 就是
[09:46] 就是開
[09:47] 開件考試
[09:48] 對
[09:49] 所以
[09:50] 這件事情
[09:52] 很重要
[09:53] 就是說
[09:54] 其實你要會去觀察
[09:55] 因為
[09:56] 因為像
[09:57] 我覺得其他平台性質
[09:58] 有可能
[09:59] 比較不一樣
[10:00] 但是脆上面其實
[10:01] 你只要去
[10:02] 打開你的這個
[10:03] 你也
[10:05] 動態牆
[10:06] 然後去看現在到底
[10:07] 怎麼會爆紅
[10:08] 然後你去
[10:10] 你去想一下
[10:11] 說它為什麼會爆紅
[10:13] 然後
[10:14] 有哪些類型的文章會爆紅
[10:16] 其實
[10:17] 然後你可能
[10:18] 嘗試去模爆
[10:19] 其實你都可以
[10:20] 抓到一些
[10:21] 軌跡
[10:22] 當然說你可能
[10:23] 像我這樣
[10:24] 要把它講成一個架構
[10:25] 是需要
[10:26] 多了一些
[10:27] 絲操人經驗
[10:28] 但是
[10:29] 對一般的來說
[10:30] 其實你們都可以去
[10:32] 做一個什麼樣的方式
[10:33] 那我今天就是
[10:34] 來幫你們
[10:35] 幫你們
[10:37] 我幫你們
[10:38] 當你們
[10:39] 疏痛
[10:40] 因為你們講黑白上氣
[10:41] 什麼答案這樣
[10:42] 對
[10:43] 因為這個人力
[10:44] 也是你比較
[10:45] 我覺得也是過去10年
[10:46] 我配樣的這個
[10:47] 社群敏感度
[10:48] 其實我就是
[10:49] 莫名其妙
[10:50] 其實我看一下
[10:51] 我就大概
[10:52] 就知道了
[10:53] 所以其實這個也是今天要
[10:54] 去跟他講的
[10:55] 這個東西
[10:56] 這個第一個動態
[10:57] 是要去
[10:58] 學會觀察
[10:59] 不管你在做任何事情
[11:01] 你看你做抖音
[11:02] 你在做
[11:03] 業務
[11:04] 或者在做行銷
[11:05] 其實這個觀察人力
[11:06] 都是
[11:07] 非常重要的
[11:08] 你不要去看成功的人
[11:09] 怎麼做的
[11:10] 你不一定要跟他一樣
[11:11] 可是你要去
[11:12] 了解說他這個
[11:13] 運作了軌跡
[11:14] 然後有哪些
[11:15] 類型的成功的東西
[11:17] 然後第二個
[11:18] 是要跟大家講的是
[11:19] 這個
[11:20] 立他
[11:21] 我覺得
[11:22] 做自媒體
[11:23] 當然
[11:24] 很多朋友
[11:25] 當初會跟我講說
[11:26] 這個
[11:27] 在做自媒體的時候
[11:29] 其實
[11:30] 我覺得上面
[11:31] 都是一些
[11:32] 比較垃圾的內容
[11:33] 或是都是比較
[11:34] 落資的內容
[11:35] 但是其實
[11:36] 我覺得
[11:37] 其實就看你出發點
[11:39] 因為如果你是
[11:40] 一個很喜歡
[11:41] 引戰的
[11:42] 那你可能
[11:43] 其實他
[11:44] 就反映你喜歡看
[11:45] 自類型內容
[11:46] 所以你要多去
[11:47] 分享有價值的內容
[11:48] 然後你要多去
[11:49] 做一些
[11:50] 對別的
[11:51] 幫助的事情
[11:52] 然後
[11:53] 因為你可能
[11:54] 你要正向一點
[11:55] 所以你的板面
[11:56] 就會變得
[11:57] 是有價值
[11:58] 然後正向
[11:59] 然後再來就是
[12:00] 立他有一個
[12:01] 很重要的重點
[12:02] 就是你要去講
[12:03] 講的話
[12:04] 你講自己想講的話
[12:06] 這個不是立他
[12:07] 那大家今天
[12:08] 來上課就是
[12:09] 一個很好的開始
[12:10] 因為
[12:11] 有些人他們可能
[12:12] 不一定
[12:13] 很會寫文章
[12:14] 或是他可能
[12:15] 不一定在這個
[12:17] 社群媒體上
[12:18] 有這個經驗
[12:19] 那我今天跟大家講一個
[12:20] 我覺得
[12:21] 我覺得
[12:22] 好好的方式
[12:23] 大家可以去聽聽看
[12:24] 這個邏輯
[12:25] 如果你覺得不錯的話
[12:26] 你可以就先
[12:28] 照對原則去模仿
[12:30] 但是你也不用完全
[12:31] 跟我一樣
[12:32] 好這是第二個
[12:33] 是要
[12:34] 立他
[12:35] 這個沒有做在
[12:36] 檢報上面
[12:37] 所以
[12:38] 有剛想到的
[12:39] 就臨時
[12:40] 再把它分享
[12:41] 所以你們可以
[12:42] 做筆記
[12:43] 或是你們可以在
[12:44] 到時候
[12:45] 回放來看
[12:46] 因為這個
[12:47] 很重要
[12:48] 對
[12:49] 很重要
[12:50] 這是心態面的
[12:51] 然後第三個
[12:52] 第三個
[12:53] 這個是
[12:54] 最重要的
[12:55] 就是你進一致媒體
[12:56] 其實有一個重點就是
[12:57] 對
[12:58] 你一定要真實
[12:59] 去進一致媒體
[13:00] 你真的
[13:02] 真的
[13:03] 你要去
[13:04] 這其實
[13:06] 我覺得回到
[13:07] 很
[13:08] 自我絕差角度
[13:09] 因為像那個
[13:10] 群組裡面很多人
[13:11] 他們上過
[13:12] 這個一些心理的
[13:13] 或者是
[13:14] 真心理的課程
[13:15] 所以你要去
[13:17] 瞭解你自己
[13:19] 真實的想法
[13:20] 你要情緒
[13:21] 然後把真實
[13:23] 那面
[13:24] 展露出來
[13:25] 那我常常在
[13:26] 致媒體上面
[13:27] 我講
[13:28] 你要怎麼樣去寫
[13:29] 誤示是
[13:30] 最有
[13:31] 最可能會抱文
[13:32] 其實
[13:33] 非常簡單
[13:34] 在課程開始
[13:35] 之前我就
[13:36] 跟你們講這個
[13:37] 訣竅
[13:38] 就是
[13:39] 你覺得最不敢講
[13:40] 事情
[13:41] 或是你覺得
[13:42] 最害怕去講
[13:43] 你覺得
[13:44] 你不確定這東西
[13:45] 可不可以講出來的事情
[13:47] 那就是
[13:48] 你最真實
[13:49] 那裡面
[13:50] 你把它講出來
[13:51] 其實那個文章
[13:52] 非常大的
[13:53] 就是會抱
[13:54] 不管你寫的歌詞
[13:56] 你寫的這個
[13:57] 文筆
[13:58] 好或不好
[13:59] 對
[14:00] 因為你會這樣想
[14:02] 別人也會這樣想
[14:05] 所以當你講出來
[14:06] 以後別人
[14:07] 就會覺得
[14:08] 情感上就會說
[14:09] 因為他覺得
[14:10] 你幫他
[14:11] 把他想的事情
[14:12] 講出來
[14:14] 對
[14:15] 所以這個是
[14:16] 真實
[14:17] 是一個
[14:18] 很重要的一個點
[14:19] 你一定要去真實
[14:20] 因為有些
[14:21] 可能會做一些
[14:22] 人設
[14:23] 可以做人設
[14:25] 但是他必須是
[14:26] 你真實的那一面
[14:27] 對
[14:28] 不然的話到時候
[14:29] 你很驚喜
[14:30] 後面會沒有惹情
[14:31] 因為你會覺得
[14:32] 你這東西
[14:33] 很無聊
[14:34] 就是
[14:35] 很辛苦
[14:36] 對
[14:37] 他就不好玩了
[14:38] 對
[14:39] 你要
[14:40] 做真實那一面
[14:41] 才會喝茶的酒
[14:42] 而且他可能會
[14:43] 為你的人生帶來一些
[14:44] 很有
[14:46] 規模棒
[14:48] 那你
[14:49] 人生可能
[14:50] 你講的
[14:51] 規模棒大的機會
[14:52] 可能會認識
[14:53] 一些不錯的
[14:54] 很有
[14:55] 人脈
[14:57] 稍微調整一下
[15:01] OK
[15:03] OK
[15:04] 好
[15:06] 順便看一下
[15:07] 大家的留言
[15:08] 這樣子
[15:09] 也挺好的
[15:10] 我就可以一邊
[15:11] 講到的時候
[15:12] 就可以回答大家的問題
[15:13] 只是
[15:14] 當然今天有可能
[15:15] 我也可能會超死
[15:17] 因為
[15:18] 因為
[15:19] 內容很多
[15:20] 可是我想進可能的去講
[15:21] 但是因為
[15:22] 我們時間設定三個小時
[15:23] 所以應該
[15:24] 也還好
[15:25] 那如果真的超死的話
[15:27] 大家就
[15:28] 也算是送大家的
[15:29] 或者是你真的有事
[15:30] 你可以在看回放
[15:32] 好嗎
[15:33] 對
[15:34] 好
[15:35] 那好
[15:36] 真實很重要
[15:37] 我跟子講
[15:38] 然後剛有在回答說
[15:39] 我在一開始
[15:40] 經營脆的時候
[15:41] 這個
[15:42] 可能沒有什麼本師
[15:44] 所以寫真實的故事
[15:46] 沒什麼看
[15:47] 所以我就放棄了
[15:49] 我覺得
[15:52] 很多人他們
[15:53] 這個回答我剛講
[15:54] 第二個點就是
[15:55] 立他
[15:56] 就是你寫的
[15:57] 這個真實的故事
[15:58] 他到底是不是一個
[16:00] 有力量的故事
[16:01] 取決於說
[16:03] 你這故事到裡面
[16:04] 帶給別的這樣子
[16:06] 比如說我今天
[16:08] 你寫日常所
[16:09] 事也是真實
[16:10] 可是我
[16:11] 真實的故事
[16:12] 他其實
[16:13] 更深的點
[16:14] 是你要去寫你生命中
[16:16] 很最大的一個措著
[16:18] 而且是真的很大
[16:19] 不要忘記
[16:20] 你可能破產我們家
[16:21] 你家
[16:22] 燒掉了
[16:23] 或者說你
[16:24] 準備
[16:25] 被疲腿了
[16:26] 這種事情
[16:27] 然後你要去
[16:28] 從中去找到你的一些
[16:30] 百獅
[16:31] 或者是觀點
[16:32] 然後把它寫出來
[16:34] 這樣子其實對別人
[16:35] 就來處就是
[16:36] 立他嘛
[16:37] 因為你
[16:38] 把你的經驗
[16:39] 你的出了一個
[16:40] 你的心得
[16:42] 然後你把它
[16:43] 非常地別了
[16:44] 等於是你幫別人的人生
[16:45] 少活了這段
[16:46] 他的也是他沒有
[16:47] 算你還沒有
[16:48] 今天這件事情
[16:49] 可是你幫他
[16:50] 活著故事
[16:51] 然後你去告訴他
[16:52] 如果你真的遇到的時候
[16:53] 你可以怎麼做
[16:54] 或者是
[16:55] 你去
[16:56] 對
[16:57] 或者是你剛剛講說
[16:58] 你真的情緒
[16:59] 那時候對深刻的
[17:00] 情緒是什麼
[17:01] 那這種事情
[17:02] 我覺得
[17:03] 他是
[17:04] 普通是
[17:05] 符合真實
[17:06] 然後又是
[17:07] 立他的
[17:08] 所以
[17:09] 再來說
[17:10] 各世上憂患
[17:12] 你可能就是
[17:13] 我剛剛講第一個點的是觀察
[17:14] 寫比較好的人觀察
[17:16] 都是寫的
[17:17] 當然堅持是一個很重要的點
[17:19] 堅持
[17:21] 以外就是要學習方法
[17:23] 恭喜你今天來上課
[17:25] 絕對會跟你講方法
[17:27] 而且非常多方法
[17:28] 你可以來又過完
[17:29] 但沒關係
[17:30] 我們就是記重點
[17:31] 好這個就是
[17:32] 第一個點
[17:33] 我想要講
[17:34] 下一頁
[17:37] 我想要用點
[17:38] 不是很熟悉的
[17:39] 幹嘛
[17:45] 好
[17:46] 最後我還想再跟大家講一個點
[17:47] 來鼓勵大家
[17:48] 為什麼
[17:49] 來經營這個吹
[17:50] 其實
[17:51] 就我的角度來看
[17:53] 吹其實
[17:54] 它就是
[17:55] 兩千的這個抖音
[17:56] 兩年前
[17:57] 抖音剛出來的時候
[17:58] 我身邊
[17:59] 非常多朋友說
[18:00] 抖音這東西
[18:01] 太弱子了
[18:02] 就是
[18:03] 抖音上面
[18:04] 那種
[18:05] 就是
[18:06] 那種
[18:07] 那種
[18:08] 那種
[18:09] 那種
[18:10] 那種
[18:11] 那種
[18:12] 那種
[18:13] 那種
[18:14] 太膚淺
[18:15] 不想去
[18:16] 尤其是我
[18:17] 現在是
[18:18] 大概30歲的演技
[18:19] 那
[18:20] 身邊有更多這樣的聲音
[18:22] 可是
[18:23] 到兩年後
[18:24] 今天
[18:25] 我想
[18:26] 會這樣說的
[18:27] 已經很少
[18:28] 而且你在市面上
[18:29] 因為看到
[18:30] 非常多的
[18:31] 專業營教練
[18:32] 因為這東西
[18:33] 確實是
[18:34] 有商機的
[18:35] 而且商機非常的大
[18:36] 很多人
[18:37] 他們可能現在離職了
[18:38] 他們就是專門
[18:40] 來接他
[18:41] 做專業營
[18:42] 幾秒的影片
[18:43] 可能
[18:44] 一個月結個十隻
[18:45] 可能月入
[18:46] 至少
[18:47] 可能是
[18:48] 45萬以上
[18:49] 所以
[18:50] 就已經很少了
[18:51] 月入是
[18:52] 45萬以上
[18:53] 所以
[18:54] 這個新的趨勢
[18:55] 新的趨勢
[18:57] 一開始的
[18:58] 蒐集
[18:59] 都是不被看好
[19:00] 但是你要去
[19:01] 聊解他的邏輯
[19:02] 為什麼這東西
[19:03] 會紅
[19:04] 那目前
[19:05] 脆開
[19:06] 有非常大的紅力
[19:07] 因為
[19:08] 你要
[19:09] 去看
[19:10] 就是我上次去一個
[19:11] 這個
[19:12] 六個墨生
[19:13] 能吃飯的
[19:14] 膠油
[19:15] 每一個的聚會
[19:16] 叫
[19:17] TanLift
[19:18] 叫
[19:19] TanLift
[19:20] 時間留下來
[19:21] TanLift
[19:22] 我不知道我英文
[19:23] 說不要不要追
[19:24] 反正
[19:25] 大家會的
[19:26] 都是
[19:27] 他採力有一點
[19:28] 幾處
[19:29] 五六百塊半
[19:30] 不成文
[19:31] 不成壓力
[19:32] 然後他們
[19:33] 也都是
[19:34] 事業上還不錯
[19:35] 大概三十幾歲
[19:36] 然後我就問一問
[19:37] 基本上沒有人在經營
[19:39] 而且
[19:40] 我聽到答案
[19:41] 跟當時
[19:42] 我聽
[19:43] 你還在經營
[19:44] 端營的答案是一樣的
[19:45] 他都說
[19:46] 說
[19:47] 這個脆
[19:48] 就打開
[19:49] 都覺得這個
[19:50] 豬臉破碎
[19:51] 然後
[19:52] 這個東西很浮淺
[19:53] 我想說
[19:54] 花了
[19:55] 沒有
[19:56] 我打開
[19:57] 都很
[19:58] 很幾天很高
[19:59] 為什麼
[20:00] 你有這種誤會
[20:01] 但是他
[20:02] 就是這樣覺得
