[00:00] 我就是一個不愛開暖氣的人
[00:02] 我那個
[00:03] 我棉被我可以蓋到三層的負離子
[00:05] 我就是不開暖氣
[00:07] 因為我不知道為什麼
[00:08] 我覺得暖氣讓我很悶
[00:09] 然後我會不好呼吸的感覺
[00:12] 所以我都沒開暖氣
[00:14] ok 那確認一下
[00:16] 就是昨天有聽第一天課的
[00:19] 不論你是聽回放或是來直播
[00:21] 有聽的你幫我按個數字
[00:23] 我就知道你昨天有聽課
[00:26] 然後看一下
[00:26] 昨天很多同學跟
[00:30] 昨天
[00:30] 哦
[00:30] Michel
[00:32] 肉
[00:32] Ucer Ucer Ucer換個名字
[00:34] Ucer就是那個對不對
[00:37] You
[00:39] Sing
[00:39] 不不不
[00:40] Amy
[00:41] 然後Michel Michelle我知道
[00:42] 有常常聽看到你出來
[00:44] 金沙
[00:45] 然後
[00:46] 聽亞
[00:47] 對不對
[00:48] 嗯好很好
[00:49] Leave your
[00:50] 呃
[00:52] 終於
[00:53] 我對不起
[00:53] 與和嗎
[00:56] 這就是中文不好
[00:58] 小時候輸毒不好
[01:00] ok 好但沒關係
[01:03] 然後謝謝你們大家
[01:04] 今天又繼續來到這裡哦
[01:06] 那今天我要告訴大家謝謝凡
[01:09] 我要告訴大家今天真的超級精彩的
[01:12] 我們今天要做的事情很多哦
[01:14] 然後所以呢今天我會比昨天再加快
[01:18] 一點點的速度可以嗎
[01:20] 我會加快一點點
[01:21] 因為我今天特別要講到自媒體了
[01:24] 那很多人以為一定要先做自媒體
[01:28] 那如果要做要怎麼做
[01:30] 呃這件事情跟你們之間的關係是
[01:33] 什麼跟你們如何
[01:35] 跟你們的長期的
[01:37] 穩定的收入是綁定的
[01:40] 而不是有斷層的
[01:42] 好那這個就是今天我特別要講的
[01:45] 一個概念
[01:45] 因為如果昨天你有聽懂什麼是系統
[01:48] 系統如何為你所用
[01:50] 那今天你就要來聽我們
[01:52] 是如何的要告訴大家那
[01:55] 呃這個
[01:56] 自媒體的部分好不好
[01:58] 好所以呢今天來
[02:00] 那前面因為有一些些同學可能還沒有
[02:02] 聽過我的課
[02:04] 所以我前面花花一點點幾分鐘一下下的
[02:07] 時間自我簡單介紹一下
[02:09] 就是前面流程
[02:10] 大概再綁一下就好了
[02:12] 哦這就是我們三天的課程
[02:14] 然後這三天呢再告訴大家
[02:17] 2024到2043
[02:19] 就是身心靈工作者的黃金時代了
[02:21] 昨天在講如果收入不穩定
[02:24] 靠介紹靠緣分才能成交的事情嘛
[02:26] 對不對
[02:27] 那今天呢
[02:28] 今天呢要跟大家講的呢是
[02:31] 自媒體經營無力內容難產要怎麼做
[02:35] 哦然後還有明天要講就是單次
[02:37] 收入不穩定的話
[02:39] 怎麼樣讓客戶來哦
[02:41] 那我們現在就準備起航囉
[02:43] 接下來90分鐘了就是要給你們
[02:46] 穩定年收百萬的一個商業秘訣
[02:49] 然後同時今天跟我互動多的同學們
[02:53] 互動多的才會有機會
[02:56] 有這個高共鳴貼文的體驗環節
[02:59] 也就是讓你
[03:01] 親自測試使用你覺得好不好
[03:03] 如果你覺得好的
[03:05] 你想親自測試使用的幫我刷一排
[03:08] 888我看一下有沒有人
[03:10] 想要親自測試
[03:12] 實測到底Sally練的
[03:16] 就是Sally的那個機器人
[03:18] 有沒有好用有沒有你自己說的好
[03:21] 有沒有那種棒棒的還是
[03:23] 就很普通嘛我也行哦
[03:25] 就是你看有沒有用好不好
[03:27] 給你們給你們來看結果
[03:29] 所以呢今天請你們一定要多跟我互動
[03:33] 然後我們的小幫手
[03:34] 他會看你們有沒有多互動的哦
[03:37] 有多互動的人民他就會把它記錄起來
[03:41] 因為我們等一下會有一個轉盤
[03:44] 然後那個轉盤呢
[03:45] 我們就會知道
[03:47] 你們你們有多互動的人的名字
[03:50] 就會在轉盤裡面
[03:51] 那沒有多互動的沒有哦
[03:53] 我要先說哦
[03:54] 就是所以你們有多互動他有
[03:56] 看到你們有互動才會有轉盤好嗎
[03:59] 所以今天就是很有趣好玩哦
[04:02] 那一樣如果昨天你沒有來
[04:05] 來然後今天你來了
[04:06] 記得我們還會有這三樣好禮
[04:09] 晚點會給你領取好
[04:11] 那我簡單的說一下
[04:13] 一人公司為我帶來業績
[04:15] 在2021年兩個禮拜
[04:17] 還必時期萬進賬
[04:18] 然後2023年呢
[04:20] 3月一個禮拜47萬進賬
[04:23] 然後2023年10到11月
[04:25] 我已經整套東西都會了
[04:27] 就是自媒體加零星顧問加成交系統
[04:30] 整套都會的
[04:31] 結果我們先說結果論哦
[04:33] 就是呃170萬的進賬
[04:35] 然後在去年三個禮拜
[04:38] 才必100億
[04:38] 我要說的是呃
[04:41] 我們要告訴你現在
[04:42] 我在告訴你的東西
[04:44] 他是真的有用跟有效
[04:46] 那我只有把單點時間點拿進來
[04:48] 是因為不然太長時間的
[04:50] 也有點 boring
[04:51] 我們就把其中幾個
[04:53] 比較呃就是具代表
[04:54] 其實還有更多具代表性
[04:55] 我們就不用全部說哦
[04:57] 那這是一點點
[04:59] 呃我們當時的
[05:01] 就是收入的介紹
[05:03] 哦那時候的收入截圖介紹
[05:06] 好
[05:07] 大家可以看一下哦
[05:10] 就是有就有看過的
[05:12] 你稍微忍耐一下哦
[05:14] 我已經要講到重點了
[05:15] 那簡單的再介紹一下我自己哦
[05:18] 我是零星品牌落地師
[05:20] 沙利小宇宙的串絆人
[05:22] 那我有20年的
[05:23] 身心靈教學經驗哦
[05:25] 所以我從大概
[05:26] 啊不想說年紀哦
[05:27] 30歲就接觸到現在了哦
[05:30] 然後呢
[05:31] 呃我從靈魂訂單到品牌系統
[05:34] 到穩定收入這一整串
