[00:00] 我這幾天在閉關
[00:02] 還不錯
[00:04] 我把行銷客快做
[00:06] 我行銷客已經
[00:07] 我已經時常客都快做完了
[00:09] 我現在要給老師看
[00:11] 我就準備得太多了
[00:13] 準備得時常
[00:15] 時常客
[00:17] 你是預計的
[00:18] 先把時常客先搞錯來
[00:20] 不是
[00:21] 老師給我的任務
[00:22] 就是三個任務
[00:24] 一個就是行銷客
[00:25] 一個是企劃書
[00:27] 一個是跟我爸爸
[00:30] 要處理我9-11歲的事
[00:34] 所以我到現在還是不知道是什麼
[00:36] 對
[00:37] 行銷客我做的差不多
[00:41] 企劃書
[00:42] 目前都還是文字
[00:44] 我可能會再做一些修改
[00:46] 如果你那邊
[00:48] 有對於教育的一些東西
[00:51] 你可以把文字先踢過來
[00:53] 或者你語音
[00:54] 如果你比較忙用語音
[00:55] 那個轉文字也行
[00:57] 這樣我就把 key 進去
[00:59] 問題是
[01:01] 問題是
[01:02] 我現在沒有一個
[01:04] 就是空架
[01:05] 這個空架是什麼
[01:07] 你現在的這個課程
[01:09] 是對什麼人去教
[01:11] 你的行銷客程是對
[01:14] 外面的人
[01:16] 把他變成代理三個內部人員
[01:19] 那個課程就
[01:20] 你就不用特別管了
[01:22] 那一件事情
[01:24] 那個事情是另外一件事
[01:27] 那如果企劃出來
[01:28] 就是說就是你覺得教育需要多少費用
[01:31] 要多少預算
[01:32] 你答應怎麼做
[01:33] 就是給我就可以
[01:34] 這個部分可以給我
[01:36] 這樣子
[01:37] 我現在就是在講教育的這塊部分
[01:41] 現在是我根本不知道
[01:43] 教育是要教育哪些人
[01:45] 他們的說段如群是誰
[01:48] 真的些靈性老師吧
[01:50] 我覺得就心靈還那一套
[01:52] 就是就是
[01:54] 我覺得教育的類別
[01:56] 應該說老師不是講說
[01:58] 就是那些靈性的老師嗎
[02:00] 他們要懂人間的基本的一些東西
[02:03] 那需要多少費用
[02:05] 這樣
[02:06] 你需要多少做什麼事
[02:08] 多少費用
[02:09] 這樣需要什麼人
[02:10] 請人多少錢
[02:12] 就是你不用到課程內容
[02:13] 但是給我費用就行了
[02:15] 我只要預算而已
[02:17] 我只要寫預算
[02:19] 因為說內容可能會變
[02:21] 內容可能會有一個決策小組來討論
[02:24] 一定是有個決策小組說討論這個課程內部框架
[02:28] 但是那個費用
[02:30] 對
[02:32] 對呀
[02:33] 現在就是等於說連方家都沒有
[02:36] 我要教育的哪一套部分
[02:39] 就是我如果心靈還在等套過
[02:41] 等他過來做做平書
[02:44] 平行書入行
[02:46] 我請老師來教
[02:48] 可是這個教育的人的招生
[02:54] 我覺得這也是一個很大的工程
[02:57] 我那天聯繫了那個
[03:00] 我那天聯繫了那個心靈還
[03:03] 除了媽咪之外
[03:05] 第二個厲害的人
[03:08] 喂
[03:10] 我真聽
[03:12] 我真聽
[03:13] 就是心靈還
[03:15] 他們是由三個人
[03:17] 就是心靈還媽咪你知道吧
[03:20] 那個是Daily的特產
[03:22] 我講的是媽咪的特產
[03:24] 媽咪閃下
[03:25] 他有兩個大師姐跟二師姐
[03:28] 我聯繫的是大師姐
[03:31] 他們一開始就是這三個人
[03:34] 一起到大陸去創辦了
[03:37] 創辦了心靈還
[03:39] 有媽咪的體系
[03:41] 媽咪這個這個這套體系
[03:43] 然後由他們三個人
[03:45] 就形成一個精神獎
[03:48] 然後現在都還是對於水準
[03:50] 媽咪
[03:52] 也算是在心靈還的
[03:54] 算是最高子島單位就對了
[03:57] 最高子島單位
[03:59] 我那天還在跟他們聊
[04:00] 我就說如果我這邊很離號
[04:02] 我希望就是老師來
[04:05] 我們可以一起來共識
[04:09] 然後一起看這個部分
[04:11] 我們怎麼落定好
[04:12] 這個落定然後被要各方面領去
[04:15] 去把他連展就對了
[04:18] 我只是講到這裡
[04:19] 因為沒有形成的東西
[04:21] 我也不願意多說
[04:23] 對啊
[04:25] 就是說請老師這款部分的話
[04:28] 請老師這款部分
[04:30] 我覺得我不是認為是
[04:33] 我們的受眾族群
[04:35] 受眾族群先落定下來
[04:38] 然後再來看教育的這個部分
[04:41] 請老師
[04:42] 這些告訴我很確定
[04:44] 這些被教育對象就是
[04:46] 那些有
[04:48] 我就講舉例就是你女兒
[04:52] 你用一個比較你完全可以理解
[04:55] 而且完全可以
[04:57] 譬如說有些些很強的寧人力
[04:59] 但是不知道人間的很多的東西的人
[05:02] 用這樣來表達
[05:03] 我覺得是最精準的
[05:05] 就是其實說你看過的單單也好
[05:08] 他是要學一下禮貌
[05:10] 你弟弟子你看過的
[05:12] 我想想你看過誰
[05:13] 子雲也好
[05:15] 子雲是已經很承守的
[05:16] 那比較
[05:17] 就是從最沒有到有的
[05:20] 所有基本教育
[05:22] 我覺得這個應該是說
[05:25] 老師要做的就是這個事
[05:27] 他第一年就是這些人
[05:28] 都在被教育
[05:30] 他應該有跟你講這件事
[05:32] 就是這些人他們需要學這些東西
[05:35] 這樣子
[05:36] 你講得那麼多
[05:37] 他被跟我講這麼多
[05:39] 他不是說你成為
[05:41] 他不是跟我講說
[05:42] 你那些老師給你去做教育培訓嗎
[05:45] 好像只有講一句話
[05:47] 但是對他只講一句話
[05:50] 人的這些
[05:52] 這些寧情老師的發向
[05:54] 對
[05:55] 對
[05:56] 對
[05:57] 那些人會有多少人
[05:59] 這個很重要有多少人
[06:01] 但是你看
[06:02] 你再跟我講的時候
[06:04] 他單單也不能躺課
[06:06] 他單單也課的叫
[06:08] 哇對
[06:09] 那這裡都是教靈性的
[06:11] 都是教那個我們看不見的
[06:13] 我們這個麻瓜
[06:15] 我們這個麻瓜他們在教的時候
