[00:00] 歡迎大家來到今天的欺騰的介紹的作者
[00:08] 好 主持人比較自豪
[00:10] 那改名的部分我們之後會教大家
[00:12] 請大家不要錄影
[00:14] 因為我們等一下就會把影片放上去
[00:16] 也不用錄
[00:17] 然後呢
[00:18] 也請大家把麥克風先關掉
[00:20] 那開始課程之前呢
[00:22] 我們會做比較多的說明
[00:24] 因為發現大家的Q&A非常多
[00:26] OK 所以我這邊會做比較多的這個說明
[00:29] OK 然後呢
[00:31] 第一個是我們怎麼如何使用這個軟體
[00:33] 這個軟體呢在我們的左下角
[00:37] 我等一下會說
[00:38] 然後怎麼設定攝團通知
[00:40] OK 好 那左下角呢
[00:43] 這邊有個紅色的點
[00:44] 紅色這個點呢
[00:46] 就是可以關閉麥克風
[00:49] 如果按紅色呢
[00:50] 就是可以關
[00:51] 那你平常黑色
[00:53] 它就代表它開了
[00:54] 那如果你現在呢
[00:55] 睡眼心鬆
[00:56] 然後就是不太想要露點
[00:59] 那你就可以把它關掉
[01:01] OK 好 那這邊有一個
[01:04] 語會人員就是得問
[01:06] 你還是可以跟老師互動
[01:09] 雖然這種波長的波長
[01:11] 還是可以跟老師很多的做互動
[01:13] OK 然後還有就是要請大家
[01:16] 因為我們當初為了方便管理
[01:19] 所以我們把這個所有的資訊放在攝團
[01:22] 因為它很方便
[01:23] 所以設定很多東西
[01:25] 所以請大家把你的通知
[01:29] 改成所有貼文
[01:30] 在攝團這邊
[01:31] 有個通知的功能
[01:33] 然後你們在往右一點點
[01:35] 應該會看到有更多
[01:36] 更多的話這邊可以設定為截徑
[01:38] 截徑就代表就是說
[01:40] 你可以這個
[01:41] 它就會放在你左邊
[01:43] 比較容易每一次就點進來的這個藍味
[01:46] 所以你們記得
[01:47] 要把這個通知
[01:49] 跟更多這邊
[01:50] 把它做調整
[01:51] 這樣順便才不會漏掉
[01:54] 那開始之前
[01:55] 我先介紹一下我自己
[01:57] 我叫
[01:58] 大家叫阿哈
[02:00] 然後這是呢
[02:02] 這是我身自我介紹一下
[02:04] 因為我是我叫
[02:05] 跟這個課程
[02:06] 非常的有關係
[02:08] 以及我們兩個
[02:09] 會講到頒歸的部分
[02:11] 這是我接觸過的產業
[02:13] 那這是我的資歷
[02:15] 簡單講我的人生
[02:16] 就是這兩件事情
[02:17] 申心健康相關
[02:19] 在日後的課程
[02:20] 我會講到
