[00:00] 今天這支影片要來挑戰
[00:01] 全網最齊全的新手短影鷹入門攻略
[00:05] 希望大家看完這部影片
[00:07] 就知道如何做短影鷹帶來大流量
[00:09] 而且最後能夠賺到錢
[00:10] 我三年前開始第一次嘗試拍短影鷹
[00:13] 那其實一開始我也不知道怎麼拍
[00:15] 所以花了半年的時間拍了40幾支影片
[00:17] 最後追蹤只有36個
[00:19] 雖然第一次經營短影失敗
[00:20] 但是運氣還算不錯
[00:22] 接到了很多短影的待嘲
[00:23] 陸續做了來自同早生
[00:25] 你大約是邱老闆跟藍太太好生活
[00:26] 這些素人暴空的帳號
[00:28] 後來我就開始法制到方法
[00:30] 用回到我自己的帳號身上
[00:31] 結果做了第一支影片
[00:33] 哇 40萬的觀看
[00:34] 四個月的時間
[00:35] 現在已經將於40萬的追蹤
[00:37] 你在做短影鷹的時候
[00:39] 有一套方法跟憑感覺亂做
[00:41] 做出來的成果是天差地的
[00:43] 所以拍這支影片
[00:45] 也是想要記錄一下
[00:46] 自己的一個學習過程
[00:47] 把過去採過的坑
[00:48] 學習到的東西放到這部影片裡面
[00:51] 裡面的內容我可以說是
[00:55] 所以看完以後
[00:55] 相信對你的人生
[00:56] 或者是你的事業是非常的幫助的
[00:58] 等一下我們這部影片會包含
[00:59] 賺錢片
[01:00] 企劃片
[01:01] 製作片
[01:02] 跟運營片
[01:03] 所有新手需要的短影知識
[01:06] 都在這部影片裡面
[01:08] 你可以先收藏起來
[01:09] 等到你之後經營上面有問題的時候
[01:12] 還可以再倒過頭來看這部影片
[01:14] 如果你想要做好一門生意的話
[01:16] 首先你要先解決的是流量的問題
[01:19] 業績一點點流量成為轉換率
[01:20] 成為客單價這成為回購率
[01:22] 流量是零的話
[01:23] 你後面的表現再好
[01:24] 最後的業績也還是零
[01:26] 每一個時代
[01:27] 會有那個時代的流量紅利
[01:28] 像是2010年的布洛格
[01:30] 2014年的Facebook
[01:31] 2017年的直播跟2019年的蝦皮
[01:34] 我們這個時代的流量紅利
[01:36] 我可以很負責任的告訴各位
[01:38] 就是短影盈
[01:38] 2016年的時候
[01:40] 抖音就推出了短影盈
[01:41] 整個螢幕都要贊滿了
[01:42] 看起來視覺是比較有張力的
[01:44] 然後又可以在短時間
[01:46] 吸收大量的資訊
[01:47] 讓你的多巴
[01:48] 一直被刺激刺激
[01:49] 然後就很爽
[01:50] 然後就會一直想要看下去
[01:51] 像是Meta
[01:52] 有Facebook 跟IG
[01:54] 還有YouTube
[01:54] 就開始也推出了短影盈的功能
[01:56] 在Meta上面叫做RealS
[01:58] 在YouTube上面叫做Shorts
[01:59] 現在在Facebook上面發文
[02:00] 你在IG上面發文
[02:02] 就是沒有人看
[02:03] 可是如果你在Facebook跟IG發短影盈
[02:06] 在YouTube上面發Shorts
[02:08] 就是會有人看
